"AUTO, OTHER MOTOR VEHICLES","BUILDING MATERIALS, GARDEN EQ. & SUPPLY DEALERS","CLOTHING & CLOTHING ACCESSORIES STORES","DEPARTMENT STORES","ELECTRONICS & APPLIANCE STORES","FOOD & BEVERAGE STORES","FOOD SERVICES & DRINKING PLACES","FURNITURE & HOME FURNISHING STORES","GASOLINE STATIONS","GENERAL MERCHANDISE STORES","GROCERY STORES","HEALTH & PERSONAL CARE STORES","MISCELLANEOUS STORES RETAILERS","MOTOR VEHICLE & PARTS DEALERS","NONSTORE RETAILERS","RETAIL TOTAL (EXCL. FOOD SERVICES)","SPORTING GOODS, HOBBY, MUSICAL INST. & BOOK STORES","Date"
30167,10845,9716,14134,3874,30437,17170,4254,12803,19879,27835,7421,4318,33478,6515,46925,3385,1992-01-01
30457,10904,9712,14472,3904,30382,16990,4342,12601,20202,27720,7425,4308,33817,6110,147223,3516,1992-02-01
29891,10986,9669,14543,3916,30526,16916,4330,12639,20168,27848,7443,4292,33336,6018,146805,3482,1992-03-01
30361,10738,9862,14529,3958,30602,16677,4359,12710,20258,27867,7516,4391,33776,6327,148032,3535,1992-04-01
30847,10777,9755,14634,3981,30718,16602,4331,12870,20345,27987,7458,4356,34357,6550,149010,3512,1992-05-01
31260,10790,9915,14597,3992,30761,16277,4401,12886,20298,28011,7417,4357,34781,6653,149800,3549,1992-06-01
31729,10785,9957,14469,4081,30963,16496,4368,12966,20205,28183,7292,4468,35199,6891,150761,3586,1992-07-01
31124,10915,10141,14729,4048,31041,16733,4372,13092,20593,28222,7508,4494,34585,6766,151067,3512,1992-08-01
32369,10980,10154,14816,4098,30942,16812,4345,13246,20684,28122,7420,4549,35890,6714,152588,3566,1992-09-01
32396,10971,10174,14870,4186,31148,17104,4299,13304,20851,28328,7535,4809,35972,6665,153521,3607,1992-10-01
32336,10873,10076,14994,4118,30992,17420,4368,13358,21078,28184,7497,5059,35928,6610,153583,3626,1992-11-01
32693,11082,10318,15310,4248,31057,17491,4428,13475,21752,28233,7526,5059,36272,6597,155614,3800,1992-12-01
34021,11333,10581,15334,4395,31045,17553,4637,13398,21383,28220,7518,5352,37621,6644,57555,3648,1993-01-01
33087,11410,10150,15119,4343,31233,17478,4507,13596,21392,28419,7651,4896,36723,6780,156266,3585,1993-02-01
32430,11184,9916,14985,4383,31058,17554,4463,13487,21273,28307,7605,4811,35955,7009,154752,3608,1993-03-01
34849,11417,10257,15406,4460,31129,17770,4564,13539,21759,28367,7683,5033,38521,6868,158979,3749,1993-04-01
35267,11720,10386,15523,4485,31164,17821,4642,13521,21993,28386,7666,4967,39006,7309,160605,3746,1993-05-01
35171,11669,10411,15517,4567,31168,18030,4609,13461,21957,28377,7680,5153,38892,6858,160127,3702,1993-06-01
36479,11781,10593,15757,4642,31349,17927,4640,13502,22343,28554,7756,5064,40290,7046,162816,3810,1993-07-01
36689,11875,10406,15775,4667,31126,18201,4645,13372,22315,28357,7678,5115,40504,6999,162506,3804,1993-08-01
36342,11786,10549,15785,4729,31201,18515,4640,13416,22429,28478,7772,5222,40203,7486,163258,3825,1993-09-01
37020,11908,10449,15985,4710,31346,18199,4663,13755,22647,28618,7758,5432,40857,7343,164685,3817,1993-10-01
38267,12297,10475,15987,4741,31363,18153,4693,13754,22760,28625,7784,5159,42077,7561,166594,3930,1993-11-01
39035,12583,10442,15988,4794,31499,18238,4693,13627,22905,28773,7989,5377,42796,7438,168161,4018,1993-12-01
38676,12316,10450,16036,4837,31468,17624,4571,13656,22706,28722,7865,5288,42660,7720,67518,3981,1994-01-01
39648,12233,10587,16203,4949,31688,18425,4775,13875,23070,28923,7729,5282,43685,7681,169649,4095,1994-02-01
40435,12767,10806,16663,5052,31700,18813,4910,13911,23657,28914,7911,5593,44475,7853,172766,4131,1994-03-01
40972,13076,10554,16337,5090,31899,18533,4916,13867,23354,29111,7838,5464,45072,7941,173106,4035,1994-04-01
40081,13033,10451,16301,5185,31858,18600,4971,13773,23271,29025,7955,5756,44098,7859,172329,4119,1994-05-01
40475,12987,10612,16478,5313,32123,18889,5018,14059,23626,29311,8014,5739,44541,8074,174241,4135,1994-06-01
40339,13130,10672,16543,5330,31964,18962,5046,14322,23635,29149,8084,5933,44477,8077,174781,4111,1994-07-01
41053,13224,10839,16635,5411,32222,18868,5165,14685,23889,29410,8126,6012,45232,8241,177295,4249,1994-08-01
42187,13375,10674,16676,5508,32401,18978,5177,14649,23995,29545,8190,6092,46314,8106,178787,4306,1994-09-01
42856,13550,11000,16796,5635,32196,19010,5260,14709,24255,29343,8214,6048,47041,8306,180561,4347,1994-10-01
