YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    30167     30457     29891     30361     30847     31260     31729     31124     32369     32396     32336     32693
1993    34021     33087     32430     34849     35267     35171     36479     36689     36342     37020     38267     39035
1994    38676     39648     40435     40972     40081     40475     40339     41053     42187     42856     43014     42718
1995    42991     41749     42482     42782     43442     45312     44520     45351     44783     44867     45343     45687
1996    45865     47731     47809     46962     47604     47172     47359     46899     48567     48718     48006     48069
1997    49223     49794     49373     49005     47406     49176     50346     50536     50355     49941     50318     50945
1998    50551     49882     51122     52518     52842     54306     51326     50016     52181     54221     54802     55400
1999    55418     56116     56554     56965     58046     58287     59314     60563     59792     59175     60835     60559
2000    62306     63801     63027     60592     60492     61345     59995     60075     61360     61017     59479     58207
2001    60970     61168     60635     61803     61922     61566     60916     61183     58857     75352     67325     63109
2002    62485     62979     61460     63025     59858     62104     64660     66924     62794     62319     62718     64635
2003    64454     61336     63363     64330     64353     64984     65680     67538     65684     64341     66239     64681
2004    63831     65586     66560     64479     67280     63515     65708     65839     69215     68248     67804     69644
2005    66148     67949     68419     67796     67471     73811     75821     67954     64858     62054     67189     67308
2006    70547     68077     68596     68909     68180     69407     69950     69157     68476     69373     70063     69320
2007    69294     69794     69224     70074     70918     68600     68703     70288     70881     71206     69638     67126
2008    67606     65976     65537     63765     62769     60739     57934     58687     56200     50253     48542     47728
2009    49379     47822     46853     47280     47827     50407     51605     56161     47483     50371     51339     50990
2010    50816     49638     54633     55332     55204     55026     56047     55897     56502     58135     58792     58466
2011    59677     60656     60775     60132     59027     59625     59475     58685     61682     62787     63236     64592
2012    64453     65522     65788     65867     66626     65639     65960     66948     68220     67769     68791     69889
2013    70663     71712     70861     71342     72404     74096     74421     73977     72641     73918     74325     73755
2014    71451     73938     76718     78109     78390     78630     78989     79665     78880     79176     79824     79817
2015    80761     79371     82993     83414     84152     84054     83983     84679     85265     84797     85431     85075
2016    84661     86938     85102     85654     85755     86196     87717     87831     88760     88699     88272     90456
2017    90747     90167     88068     88867     89257     90144     90135     87865     92304     93233     91593     91455
2018    91604     90749     91209     91580     92028     91925     91988     90531     90809     91878     92052     93278
2019    91458     91542     94681     94094     94476     94646     95294     97048     96007     96901     98460     96848
2020    97637     97423     70902     61763     93580    101736                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.888     0.926     1.060     1.072     1.066     1.109     1.074     1.022     0.999     1.017     0.894     0.906
1993     0.854     0.895     1.099     1.069     1.066     1.110     1.067     1.026     1.001     0.982     0.920     0.907
1994     0.854     0.900     1.103     1.060     1.071     1.111     1.028     1.066     1.000     0.978     0.917     0.901
1995     0.856     0.906     1.111     1.020     1.111     1.110     1.023     1.072     0.993     0.979     0.916     0.869
1996     0.889     0.951     1.070     1.052     1.119     1.064     1.058     1.077     0.960     1.009     0.907     0.870
1997     0.894     0.922     1.071     1.047     1.116     1.066     1.056     1.046     0.990     1.008     0.871     0.899
1998     0.895     0.930     1.072     1.046     1.080     1.097     1.060     1.050     0.988     0.999     0.872     0.902
1999     0.867     0.936     1.105     1.045     1.078     1.095     1.059     1.056     0.989     0.963     0.897     0.910
2000     0.868     0.972     1.102     1.004     1.115     1.097     1.032     1.099     0.984     0.959     0.898     0.883
2001     0.898     0.933     1.092     1.006     1.112     1.093     1.045     1.105     0.952     0.985     0.895     0.893
2002     0.893     0.926     1.052     1.038     1.113     1.057     1.094     1.103     0.956     0.976     0.887     0.908
2003     0.890     0.919     1.051     1.041     1.106     1.063     1.106     1.066     0.984     0.970     0.854     0.952
2004     0.881     0.918     1.094     1.048     1.069     1.094     1.110     1.071     0.983     0.925     0.882     0.961
2005     0.858     0.908     1.090     1.058     1.074     1.072     1.078     1.102     0.981     0.931     0.878     0.964
2006     0.854     0.911     1.114     1.020     1.105     1.069     1.068     1.105     0.978     0.925     0.880     0.942
2007     0.881     0.916     1.117     1.016     1.108     1.068     1.057     1.107     0.951     0.951     0.879     0.943
2008     0.890     0.958     1.073     1.056     1.107     1.033     1.083     1.075     0.963     0.961     0.862     0.968
2009     0.898     0.926     1.083     1.048     1.075     1.049     1.080     1.065     0.969     0.962     0.864     0.980
2010     0.877     0.931     1.113     1.044     1.065     1.050     1.074     1.056     0.972     0.939     0.890     0.992
2011     0.874     0.932     1.118     1.044     1.056     1.051     1.044     1.083     0.968     0.936     0.903     0.996
2012     0.868     0.971     1.122     1.011     1.088     1.046     1.031     1.093     0.945     0.957     0.914     0.971
2013     0.891     0.928     1.080     1.043     1.095     1.018     1.056     1.095     0.944     0.962     0.920     0.969
2014     0.893     0.924     1.083     1.032     1.095     1.011     1.061     1.070     0.967     0.970     0.901     1.001
2015     0.890     0.918     1.070     1.032     1.068     1.031     1.068     1.065     0.977     0.974     0.900     1.011
2016     0.866     0.945     1.084     1.043     1.055     1.041     1.042     1.085     0.983     0.952     0.930     1.022
2017     0.853     0.906     1.102     1.000     1.083     1.039     1.037     1.088     0.988     0.949     0.939     1.002
2018     0.874     0.901     1.100     0.991     1.085     1.042     1.030     1.093     0.963     0.978     0.942     0.999
2019     0.875     0.896     1.073     1.010     1.094     1.022     1.059     1.093     0.956     0.983     0.947     0.992
2020     0.879     0.931     1.062     1.021     1.069     1.040     1.072     1.063     0.980     0.988     0.918     1.019
2021     0.853     0.887     1.089     1.020     1.066     1.047     1.073     1.057     0.983     0.964     0.937     1.023
2022     0.849     0.887     1.092     1.023     1.059     1.053                                                            
