YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    10845     10904     10986     10738     10777     10790     10785     10915     10980     10971     10873     11082
1993    11333     11410     11184     11417     11720     11669     11781     11875     11786     11908     12297     12583
1994    12316     12233     12767     13076     13033     12987     13130     13224     13375     13550     13384     13981
1995    13738     13613     13587     13415     13370     13548     13645     13683     13837     13932     14092     14683
1996    14023     14036     14153     14340     14450     14902     14826     14981     14989     15040     15264     14980
1997    15197     15561     15862     15709     15805     15918     15973     16027     16283     16232     16158     16356
1998    16436     16462     16511     16716     16741     16662     16819     16828     16972     17209     17341     17702
1999    17732     17943     17760     17791     17914     17969     18183     18341     18175     18606     18944     19125
2000    19613     19193     20175     18986     18941     18878     18982     18951     18926     18965     18689     19356
2001    19248     19698     19562     20373     20147     19900     19838     19920     19664     20054     19982     20120
2002    20359     20515     20370     21274     20874     20725     20674     20683     20732     20603     20969     20415
2003    21270     20041     21326     21139     21328     22003     22372     22489     22630     22869     22864     22748
2004    22637     22727     24992     24565     24420     24622     24538     24713     25045     24842     24974     25679
2005    26126     25797     26219     26520     26510     26569     26538     26814     27111     27664     27674     27324
2006    29686     29479     29289     28905     27864     27339     27327     27358     26994     27161     26647     27100
2007    27533     27088     27506     26610     27144     26638     26860     26625     26412     26248     26566     25634
2008    25721     25659     25456     25292     25650     25700     25897     25329     25217     24568     23196     22909
2009    22758     22498     22149     22092     22310     22332     21883     21474     21363     20661     20931     20849
2010    20566     20448     21883     23518     21742     21544     21499     21268     21336     22040     21964     22099
2011    21484     21193     21863     22066     22324     22720     22761     22786     22637     23242     22904     23447
2012    23618     23573     24570     23390     22748     22571     22697     23075     23696     23820     24108     24130
2013    24402     24824     24800     24974     25461     24969     25564     25513     25519     25159     25104     25269
2014    25200     25123     25620     26544     26785     26989     26478     27015     26977     26920     27121     26813
2015    27057     26077     27117     27349     27399     27164     27957     28045     27874     28040     28352     28884
2016    28977     29020     29733     28772     28350     29117     28866     28796     28963     29103     29337     29306
2017    29845     30162     29957     30299     30025     30036     30230     30331     31432     31043     31402     31459
2018    30524     31333     30901     30952     31793     32290     32292     32056     32202     32791     32004     32018
2019    33530     31585     31654     31750     31200     31298     31779     32617     32159     32177     32308     32807
2020    33922     33314     33544     32815     36826     36699                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.830     0.829     0.960     1.081     1.132     1.128     1.081     1.027     1.028     1.058     0.933     0.945
1993     0.790     0.809     0.989     1.083     1.129     1.129     1.063     1.049     1.027     1.025     0.965     0.943
1994     0.788     0.808     0.990     1.062     1.149     1.132     1.033     1.078     1.029     1.024     0.966     0.927
1995     0.802     0.806     0.990     1.033     1.181     1.137     1.034     1.077     1.007     1.044     0.965     0.897
1996     0.825     0.840     0.944     1.091     1.182     1.084     1.090     1.054     0.993     1.074     0.946     0.914
1997     0.823     0.801     0.946     1.095     1.167     1.107     1.093     1.018     1.023     1.067     0.915     0.936
1998     0.807     0.799     0.968     1.100     1.142     1.147     1.091     1.016     1.017     1.043     0.929     0.932
1999     0.781     0.796     0.996     1.111     1.155     1.150     1.072     1.034     1.012     1.005     0.957     0.924
2000     0.780     0.828     0.995     1.064     1.224     1.157     1.038     1.065     0.989     1.023     0.954     0.873
2001     0.819     0.788     0.977     1.092     1.231     1.140     1.060     1.062     0.958     1.050     0.955     0.869
2002     0.818     0.784     0.948     1.135     1.229     1.111     1.090     1.042     0.976     1.052     0.937     0.884
2003     0.815     0.780     0.950     1.138     1.207     1.133     1.089     1.009     1.008     1.051     0.911     0.909
2004     0.800     0.785     1.002     1.138     1.170     1.167     1.067     1.031     1.006     1.002     0.962     0.909
2005     0.772     0.772     1.001     1.116     1.197     1.169     1.034     1.058     1.007     0.999     0.971     0.894
2006     0.784     0.768     1.009     1.070     1.241     1.165     1.037     1.069     0.980     1.018     0.981     0.863
2007     0.800     0.764     0.988     1.081     1.266     1.140     1.062     1.061     0.954     1.044     0.982     0.864
2008     0.801     0.790     0.938     1.130     1.247     1.136     1.107     1.003     0.993     1.049     0.936     0.908
2009     0.775     0.756     0.968     1.122     1.213     1.175     1.103     1.000     0.994     1.029     0.950     0.921
2010     0.745     0.753     0.993     1.122     1.219     1.182     1.080     1.017     0.999     0.994     0.976     0.919
2011     0.742     0.751     1.003     1.100     1.249     1.187     1.039     1.045     0.994     0.993     0.978     0.903
2012     0.757     0.782     0.979     1.095     1.301     1.149     1.058     1.052     0.945     1.038     0.978     0.873
2013     0.790     0.751     0.935     1.148     1.293     1.118     1.087     1.032     0.959     1.044     0.953     0.890
2014     0.791     0.757     0.950     1.140     1.262     1.129     1.099     0.995     0.989     1.034     0.929     0.919
2015     0.782     0.763     0.972     1.145     1.208     1.162     1.094     0.991     0.993     1.014     0.942     0.932
2016     0.760     0.800     1.002     1.126     1.217     1.170     1.040     1.037     0.995     0.980     0.973     0.915
2017     0.781     0.778     1.015     1.078     1.238     1.163     1.041     1.046     0.972     1.002     0.975     0.885
2018     0.809     0.783     1.003     1.088     1.241     1.131     1.063     1.041     0.949     1.034     0.969     0.885
2019     0.823     0.786     0.975     1.114     1.226     1.099     1.095     1.025     0.962     1.046     0.944     0.901
2020     0.822     0.817     0.987     1.121     1.159     1.145     1.100     0.992     0.997     1.025     0.934     0.940
2021     0.786     0.792     1.018     1.115     1.155     1.149     1.081     1.013     1.001     0.989     0.962     0.934
2022     0.786     0.793     1.030     1.089     1.177     1.153                                                            
