YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     9716      9712      9669      9862      9755      9915      9957     10141     10154     10174     10076     10318
1993    10581     10150      9916     10257     10386     10411     10593     10406     10549     10449     10475     10442
1994    10450     10587     10806     10554     10451     10612     10672     10839     10674     11000     10983     10952
1995    10939     10582     10850     10796     10976     10948     10824     10813     11198     10882     11269     11124
1996    11105     11341     11376     11422     11504     11365     11316     11360     11534     11577     11318     11435
1997    11513     11468     11623     11195     11413     11643     11735     11828     11845     11881     11936     12110
1998    12154     12199     12164     12459     12304     12447     12559     12460     12180     12540     12736     12746
1999    12897     12920     13075     13139     13373     13373     13270     13404     13381     13400     13416     13573
2000    13301     13532     13818     13801     14027     13864     13722     14072     14366     14231     14294     14084
2001    14135     14166     13801     14217     13950     13804     13994     14171     13286     13973     13970     14126
2002    14220     14357     14436     14410     14220     14366     14200     14338     13966     14625     14456     14714
2003    14565     14142     14465     14434     14651     14894     15141     15089     15175     15067     15338     15456
2004    15513     15687     15984     15567     15736     15555     15645     15660     15764     16055     16044     16183
2005    16125     16674     16293     16636     16514     16824     16450     16759     16450     17120     17142     17207
2006    17331     17384     17385     17542     17492     17701     17691     17635     18256     18126     17910     18497
2007    18493     18144     18643     18189     18545     18388     18522     18491     18412     18431     18759     18570
2008    18542     18280     18338     18384     18642     18708     18635     18524     17560     17317     17173     16868
2009    17159     17401     16510     16900     17038     16817     17015     17233     17172     17296     17105     17127
2010    17346     17362     17880     17728     17612     17532     17552     17672     17670     17984     18510     18212
2011    18322     18532     18719     18923     18864     19179     18975     18911     19508     19086     19370     19526
2012    19615     20148     20035     19519     19679     19874     19741     19939     20093     19935     20020     20168
2013    20418     20299     20295     20477     20356     20345     20553     20285     20273     20750     20233     20531
2014    20467     20503     20612     21112     20698     20727     20864     20982     20764     21059     21310     21232
2015    20943     21207     21310     21351     21544     21290     21430     21496     21345     21116     21284     21390
2016    21211     21864     21413     21327     21489     21585     21346     21716     21792     21617     21516     21826
2017    21863     21503     21674     21669     21560     21710     21541     21724     21844     21770     22067     21768
2018    21867     22426     21863     22103     22966     22441     22686     22168     22269     22643     22758     22223
2019    22068     21970     22338     22245     22150     22271     22407     22276     22246     22154     22021     22644
2020    22503     22135     11362      3013      8336     17099                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.711     0.774     0.881     0.948     0.975     0.923     0.915     1.037     0.944     1.008     1.110     1.791
1993     0.706     0.741     0.887     0.958     0.967     0.922     0.928     1.021     0.954     0.988     1.123     1.806
1994     0.696     0.746     0.924     0.933     0.956     0.933     0.911     1.028     0.962     0.974     1.123     1.828
1995     0.685     0.753     0.911     0.942     0.966     0.943     0.903     1.040     0.961     0.957     1.132     1.788
1996     0.691     0.794     0.917     0.928     0.991     0.929     0.900     1.067     0.925     0.971     1.137     1.739
1997     0.711     0.769     0.936     0.906     1.010     0.915     0.912     1.048     0.927     0.977     1.107     1.748
1998     0.724     0.778     0.893     0.954     0.994     0.920     0.924     1.038     0.921     0.987     1.085     1.762
1999     0.713     0.786     0.925     0.946     0.985     0.917     0.939     1.023     0.925     0.965     1.089     1.778
2000     0.708     0.822     0.929     0.955     0.978     0.936     0.911     1.040     0.933     0.939     1.094     1.766
2001     0.710     0.806     0.947     0.942     0.988     0.937     0.898     1.045     0.910     0.947     1.100     1.748
2002     0.726     0.814     0.967     0.916     0.996     0.918     0.904     1.054     0.893     0.959     1.100     1.725
2003     0.743     0.819     0.924     0.950     1.008     0.906     0.913     1.026     0.897     0.973     1.079     1.732
2004     0.761     0.844     0.920     0.970     0.977     0.914     0.938     0.994     0.907     0.971     1.071     1.758
2005     0.747     0.826     0.966     0.942     0.968     0.924     0.923     0.997     0.915     0.964     1.073     1.762
2006     0.743     0.827     0.945     0.955     0.977     0.932     0.917     1.011     0.925     0.952     1.083     1.706
2007     0.753     0.826     0.970     0.936     0.994     0.937     0.909     1.020     0.916     0.959     1.097     1.653
2008     0.764     0.862     0.975     0.925     1.022     0.907     0.930     1.026     0.911     0.974     1.093     1.602
2009     0.779     0.837     0.944     0.963     1.010     0.917     0.939     1.020     0.914     0.988     1.076     1.589
2010     0.761     0.846     0.975     0.958     1.004     0.920     0.957     1.010     0.920     0.967     1.087     1.578
2011     0.749     0.854     0.977     0.986     0.993     0.928     0.943     1.018     0.925     0.954     1.085     1.600
2012     0.734     0.883     1.006     0.953     1.013     0.942     0.925     1.039     0.914     0.943     1.101     1.559
2013     0.744     0.855     1.011     0.939     1.021     0.930     0.933     1.061     0.893     0.957     1.109     1.542
2014     0.741     0.851     0.971     0.967     1.041     0.913     0.951     1.047     0.899     0.960     1.100     1.545
2015     0.750     0.845     0.974     0.958     1.027     0.924     0.960     1.038     0.897     0.976     1.085     1.562
2016     0.736     0.862     1.006     0.957     1.007     0.934     0.967     1.032     0.909     0.948     1.104     1.586
2017     0.721     0.832     0.982     0.970     1.013     0.946     0.962     1.046     0.911     0.938     1.115     1.554
2018     0.724     0.825     1.028     0.926     1.029     0.953     0.958     1.048     0.896     0.942     1.128     1.536
2019     0.736     0.816     0.984     0.963     1.035     0.941     0.967     1.064     0.876     0.955     1.129     1.527
2020     0.740     0.848     0.963     0.971     1.037     0.934     0.988     1.034     0.885     0.974     1.088     1.560
2021     0.741     0.806     0.984     0.964     1.026     0.936     1.006     1.023     0.890     0.957     1.098     1.568
2022     0.732     0.806     0.981     0.985     1.015     0.942                                                            
