YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    14134     14472     14543     14529     14634     14597     14469     14729     14816     14870     14994     15310
1993    15334     15119     14985     15406     15523     15517     15757     15775     15785     15985     15987     15988
1994    16036     16203     16663     16337     16301     16478     16543     16635     16676     16796     16866     16949
1995    17205     16680     16904     16985     16997     17269     17487     17231     17440     17188     17283     17332
1996    17082     17336     17248     17675     17624     17544     17581     17737     17866     18017     17970     18117
1997    18138     18185     18238     18096     18194     18276     18529     18556     18446     18580     18652     18427
1998    18474     18698     18529     18649     18653     18553     18489     18548     18589     18692     18805     18855
1999    19059     19351     19372     19075     19032     19270     19203     19191     19343     19256     19116     19249
2000    19204     19158     19227     19208     19397     19217     19132     19203     19362     19319     19529     19677
2001    19904     19170     18542     19073     18991     18889     19121     19093     18864     18955     19135     19038
2002    18935     18811     18905     19018     18530     18604     18297     18261     18041     18541     18010     17917
2003    17807     17670     17763     17687     17838     17912     18140     18207     18157     17889     17810     17791
2004    17800     17871     18165     17752     17921     17695     17888     17896     17943     18016     17942     18137
2005    18034     18173     17818     18153     17808     18263     17858     17822     17557     18070     18048     17765
2006    18107     17981     17888     17932     17757     17847     17584     17490     17826     17657     17609     17713
2007    18064     17586     17798     17480     17521     17328     17559     17527     17260     17292     17346     17199
2008    16813     16822     16697     16708     16916     17059     16779     16645     16079     16016     16329     15839
2009    15861     15627     15532     15638     15727     15427     15493     15539     15493     15620     15482     15459
2010    15578     15483     15757     15547     15366     15361     15227     15236     15193     15151     15698     15320
2011    15248     15452     15319     15603     15272     15585     15246     15098     15297     15128     15151     15132
2012    15013     15214     15192     14837     14680     14766     14813     14753     14673     14570     14438     14442
2013    14744     14530     14418     14208     14310     14181     14074     14032     14088     14218     14050     13947
2014    13679     14097     14058     14405     14177     13960     14059     14081     13852     13850     13903     13958
2015    13920     13761     13889     13723     13929     13682     13624     13585     13643     13575     13569     13410
2016    13173     13167     13075     12820     12652     12912     12685     12716     12620     12476     12250     12206
2017    12376     12203     12200     12203     12098     12167     11988     11983     12028     11934     11964     11838
2018    12025     12030     11431     12137     12304     11849     11932     11834     11648     11795     11809     11412
2019    11441     11490     11438     11478     11396     11285     11443     11267     11132     11139     11101     11002
2020    11032     11013      8607      6181      8416     10086                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.729     0.778     0.889     0.928     0.978     0.915     0.907     1.005     0.898     1.005     1.207     1.782
1993     0.728     0.746     0.894     0.924     0.973     0.925     0.912     0.980     0.917     1.000     1.190     1.804
1994     0.726     0.749     0.912     0.911     0.950     0.948     0.913     0.987     0.914     0.993     1.200     1.791
1995     0.711     0.754     0.912     0.926     0.960     0.948     0.915     0.991     0.917     0.964     1.223     1.765
1996     0.718     0.793     0.916     0.900     0.990     0.951     0.899     1.010     0.902     0.970     1.191     1.741
1997     0.742     0.775     0.935     0.893     0.995     0.944     0.902     1.002     0.882     0.982     1.188     1.736
1998     0.751     0.785     0.895     0.940     0.996     0.928     0.915     0.993     0.884     0.974     1.177     1.733
1999     0.760     0.792     0.920     0.927     0.992     0.933     0.915     0.965     0.897     0.963     1.160     1.762
2000     0.767     0.809     0.930     0.948     0.974     0.944     0.908     0.976     0.891     0.931     1.201     1.746
2001     0.761     0.799     0.930     0.941     0.973     0.944     0.889     0.999     0.884     0.938     1.199     1.733
2002     0.768     0.803     0.949     0.902     0.988     0.938     0.898     1.002     0.876     0.944     1.172     1.732
2003     0.786     0.811     0.921     0.928     0.984     0.927     0.904     0.997     0.864     0.967     1.172     1.731
2004     0.790     0.847     0.904     0.941     0.975     0.919     0.920     0.963     0.891     0.968     1.153     1.753
2005     0.789     0.822     0.935     0.919     0.950     0.940     0.915     0.964     0.885     0.967     1.174     1.745
2006     0.774     0.822     0.923     0.939     0.956     0.936     0.911     0.971     0.887     0.943     1.205     1.734
2007     0.779     0.820     0.929     0.920     0.967     0.941     0.894     0.989     0.883     0.944     1.209     1.717
2008     0.783     0.848     0.944     0.894     0.987     0.929     0.906     0.993     0.857     0.957     1.198     1.714
2009     0.794     0.821     0.904     0.934     0.983     0.919     0.916     0.989     0.869     0.956     1.186     1.718
2010     0.788     0.827     0.930     0.916     0.972     0.931     0.916     0.966     0.888     0.949     1.174     1.733
2011     0.780     0.833     0.929     0.935     0.946     0.947     0.912     0.970     0.889     0.943     1.190     1.731
2012     0.758     0.869     0.954     0.916     0.960     0.944     0.888     0.996     0.895     0.927     1.218     1.701
2013     0.765     0.832     0.971     0.881     0.979     0.938     0.893     1.004     0.884     0.937     1.200     1.704
2014     0.772     0.823     0.939     0.910     0.987     0.925     0.902     1.005     0.874     0.950     1.207     1.708
2015     0.773     0.813     0.929     0.911     0.983     0.917     0.919     1.003     0.883     0.955     1.200     1.711
2016     0.767     0.832     0.952     0.898     0.955     0.945     0.926     0.993     0.895     0.947     1.204     1.719
2017     0.748     0.802     0.936     0.923     0.963     0.942     0.931     1.004     0.897     0.928     1.230     1.691
2018     0.752     0.800     0.963     0.889     0.974     0.944     0.920     1.022     0.890     0.936     1.231     1.666
2019     0.758     0.798     0.930     0.907     0.993     0.940     0.930     1.027     0.876     0.942     1.209     1.667
2020     0.767     0.834     0.906     0.931     0.994     0.918     0.952     1.016     0.873     0.958     1.202     1.673
2021     0.766     0.798     0.928     0.912     0.991     0.926     0.955     0.994     0.888     0.951     1.194     1.690
2022     0.763     0.798     0.920     0.931     0.970     0.942                                                            
