YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     3874      3904      3916      3958      3981      3992      4081      4048      4098      4186      4118      4248
1993     4395      4343      4383      4460      4485      4567      4642      4667      4729      4710      4741      4794
1994     4837      4949      5052      5090      5185      5313      5330      5411      5508      5635      5753      5834
1995     5892      5827      5849      5733      5956      6000      5965      6159      6141      6212      6263      6281
1996     6191      6248      6365      6373      6428      6334      6234      6340      6438      6428      6356      6305
1997     6128      6370      6360      6456      6400      6440      6525      6541      6559      6572      6628      6659
1998     6776      6797      6788      6766      6829      6921      6960      7047      6954      6940      7000      6964
1999     7000      7024      7116      7195      7230      7286      7378      7281      7410      7400      7350      7498
2000     7605      7674      7652      7813      7611      7435      7397      7440      7588      7416      7392      7346
2001     7376      7334      7267      7212      7135      7246      7298      7276      7141      7237      7662      7825
2002     7604      7643      7690      7616      7678      7656      7543      7520      7511      7522      7545      7660
2003     7439      7354      7364      7440      7563      7650      7731      7914      7909      7984      8030      8127
2004     8104      8080      8117      8218      8241      8297      8337      8335      8422      8494      8479      8513
2005     8555      8765      8784      8820      8775      8828      8877      8868      8955      9047      8965      8889
2006     9395      9101      9185      9165      9132      9130      9126      9124      9158      8953      9158      9478
2007     9229      9123      9026      9008      9090      9023      9088      9274      9174      9293      9562      9368
2008     9175      9196      9171      9286      9530      9305      9329      9201      8814      8732      8737      8351
2009     8884      8844      8099      8049      8026      8039      7965      8000      7965      7920      8208      8068
2010     8232      8482      8122      8289      8366      8492      8361      8329      8383      8265      8114      8285
2011     8218      8347      8442      8529      8416      8430      8557      8615      8493      8795      8638      8462
2012     8513      8529      8698      8559      8704      8668      8750      8656      8619      8350      8660      8800
2013     8828      8904      8683      8741      8737      8760      8708      8710      8654      8771      8651      8608
2014     8637      8677      8725      8706      8588      8516      8607      8684      8880      8826      9040      9019
2015     8876      8737      8552      8650      8704      8839      8650      8661      8694      8612      8446      8464
2016     8319      8432      8289      8309      8334      8309      8386      8484      8170      8067      7887      8063
2017     8163      8092      8291      8401      8249      8177      8093      8108      8181      8247      8356      8326
2018     8358      8483      8404      8533      8441      8479      8385      8420      8268      8314      8251      8133
2019     8147      8032      8105      8042      8101      8070      8133      8103      8134      8089      8059      8098
2020     8160      8056      6641      3758      5129      7048                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.944     0.894     0.937     0.891     0.897     0.949     0.963     0.943     0.926     0.959     1.073     1.651
1993     0.934     0.860     0.949     0.891     0.897     0.949     0.958     0.944     0.929     0.947     1.087     1.657
1994     0.932     0.859     0.951     0.888     0.898     0.950     0.938     0.962     0.931     0.944     1.090     1.656
1995     0.930     0.859     0.953     0.875     0.913     0.948     0.933     0.973     0.935     0.939     1.092     1.625
1996     0.941     0.896     0.944     0.881     0.920     0.931     0.945     0.987     0.922     0.945     1.090     1.604
1997     0.948     0.872     0.944     0.880     0.921     0.928     0.953     0.981     0.931     0.939     1.067     1.615
1998     0.955     0.883     0.945     0.879     0.910     0.936     0.957     0.983     0.929     0.932     1.061     1.617
1999     0.948     0.892     0.959     0.876     0.909     0.934     0.956     0.980     0.927     0.916     1.071     1.634
2000     0.947     0.930     0.964     0.859     0.917     0.935     0.934     0.994     0.924     0.912     1.082     1.632
2001     0.952     0.897     0.961     0.851     0.916     0.936     0.926     1.000     0.906     0.924     1.095     1.645
2002     0.946     0.893     0.943     0.855     0.919     0.926     0.934     1.004     0.902     0.924     1.107     1.646
2003     0.944     0.891     0.936     0.854     0.920     0.925     0.934     0.992     0.912     0.924     1.098     1.663
2004     0.941     0.917     0.944     0.859     0.908     0.934     0.939     0.985     0.917     0.908     1.113     1.658
2005     0.931     0.901     0.946     0.859     0.906     0.931     0.925     0.991     0.917     0.908     1.116     1.662
2006     0.934     0.905     0.945     0.850     0.917     0.932     0.926     0.992     0.914     0.900     1.129     1.631
2007     0.944     0.909     0.944     0.850     0.922     0.931     0.929     0.993     0.902     0.898     1.145     1.618
2008     0.946     0.947     0.930     0.857     0.927     0.928     0.944     0.980     0.913     0.892     1.137     1.610
2009     0.946     0.919     0.938     0.861     0.912     0.942     0.947     0.979     0.910     0.893     1.149     1.589
2010     0.928     0.926     0.957     0.864     0.910     0.939     0.952     0.977     0.913     0.886     1.169     1.571
2011     0.923     0.933     0.971     0.860     0.906     0.934     0.939     0.982     0.915     0.898     1.180     1.562
2012     0.920     0.968     0.978     0.846     0.914     0.924     0.936     0.979     0.908     0.917     1.201     1.538
2013     0.929     0.933     0.961     0.849     0.912     0.908     0.937     0.977     0.920     0.929     1.215     1.535
2014     0.929     0.923     0.954     0.844     0.911     0.910     0.936     0.963     0.943     0.936     1.213     1.541
2015     0.926     0.908     0.948     0.846     0.902     0.924     0.940     0.963     0.950     0.939     1.223     1.526
2016     0.913     0.929     0.957     0.850     0.908     0.932     0.931     0.977     0.958     0.925     1.237     1.509
2017     0.916     0.883     0.961     0.845     0.923     0.941     0.931     0.983     0.951     0.927     1.243     1.472
2018     0.931     0.876     0.960     0.851     0.930     0.939     0.933     0.990     0.936     0.937     1.247     1.460
2019     0.941     0.869     0.947     0.858     0.935     0.927     0.943     0.992     0.939     0.940     1.239     1.458
2020     0.948     0.896     0.944     0.859     0.922     0.937     0.950     0.979     0.948     0.943     1.224     1.475
2021     0.939     0.863     0.952     0.861     0.921     0.935     0.950     0.980     0.952     0.931     1.235     1.480
2022     0.937     0.864     0.954     0.858     0.921     0.939                                                            
