YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    30437     30382     30526     30602     30718     30761     30963     31041     30942     31148     30992     31057
1993    31045     31233     31058     31129     31164     31168     31349     31126     31201     31346     31363     31499
1994    31468     31688     31700     31899     31858     32123     31964     32222     32401     32196     32370     32294
1995    32625     32399     32415     32312     32540     32597     32466     32547     32625     32578     32744     32903
1996    33085     32928     33076     33174     33178     33281     33470     33542     33494     33704     33734     33819
1997    34049     33989     34156     34056     33978     33892     34106     34256     34281     34348     34230     34190
1998    34126     34102     34275     34374     34534     34592     34856     34950     34916     35093     35140     35533
1999    35447     35707     35652     36013     36060     35872     36126     36117     36411     36271     36300     37665
2000    35613     35980     36559     37008     36717     37175     37038     37110     37308     37476     37700     38033
2001    37903     38252     38133     38369     38439     38569     38506     38738     38832     38944     39161     38996
2002    38833     38885     38913     38568     38713     38723     38834     38647     38599     38693     38886     39072
2003    39412     39285     39318     39441     39019     39480     39808     39833     39878     39776     39631     39809
2004    40443     39922     40419     40399     40635     40608     40631     40771     41045     41177     41404     41534
2005    41691     41757     41800     42283     42081     42363     42184     42542     42845     42842     42823     43191
2006    42681     43379     43233     43269     43654     43782     43827     44160     43846     44542     44572     44730
2007    44856     45274     45271     44988     45454     45627     45754     45643     45853     46113     46624     46831
2008    46862     46707     46883     47356     47355     47568     47845     47988     47740     47703     47363     46942
2009    47639     46928     46912     47133     47219     47350     47330     47309     47559     47603     47689     48134
2010    47877     48705     48274     48205     48202     47914     47919     48258     48631     48575     49136     49157
2011    49682     50070     50075     50805     50427     50940     50948     51177     51047     51334     51435     51185
2012    51540     51662     52112     52299     52284     52212     52276     52295     52506     52860     52750     52593
2013    52644     53203     53071     52680     53197     53155     53548     53665     53744     53865     53940     54524
2014    54715     54681     54803     55143     55362     55865     56036     56183     56348     56626     56597     56880
2015    56909     56977     56967     56864     56944     57155     57374     57410     57246     57017     57450     57265
2016    57526     57553     57040     57674     57962     58285     57967     58172     58480     58803     58843     58842
2017    59238     59516     60006     60144     60303     60109     60188     60458     61090     61331     61455     61804
2018    61661     61747     61934     62231     62214     62042     62436     62229     62454     62660     62629     62245
2019    63462     62025     63158     63326     63397     63856     64586     64603     64095     64073     64354     64522
2020    64384     64329     81607     71116     72663     71775                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.972     0.941     0.972     0.988     1.031     1.001     1.045     1.014     0.975     1.008     0.980     1.100
1993     0.969     0.901     0.981     0.990     1.024     1.006     1.053     1.003     0.982     0.996     0.982     1.110
1994     0.962     0.900     1.006     0.978     1.011     1.013     1.040     1.012     0.983     0.989     0.986     1.121
1995     0.951     0.900     0.998     0.983     1.020     1.014     1.032     1.022     0.986     0.977     0.993     1.110
1996     0.960     0.935     0.999     0.969     1.036     1.005     1.028     1.039     0.961     0.994     1.009     1.079
1997     0.974     0.899     1.008     0.959     1.045     0.990     1.037     1.028     0.964     1.002     0.997     1.092
1998     0.981     0.900     0.974     0.988     1.034     0.992     1.044     1.012     0.975     1.009     0.984     1.104
1999     0.968     0.901     0.995     0.976     1.027     0.996     1.052     0.999     0.982     0.997     0.987     1.114
2000     0.961     0.932     0.997     0.983     1.025     1.006     1.031     1.017     0.986     0.977     0.998     1.113
2001     0.958     0.904     1.005     0.969     1.035     1.010     1.017     1.024     0.974     0.985     1.000     1.105
2002     0.969     0.905     1.014     0.952     1.043     0.999     1.024     1.033     0.960     0.994     1.016     1.077
2003     0.978     0.906     0.985     0.977     1.051     0.987     1.032     1.021     0.963     1.001     1.003     1.087
2004     0.988     0.931     0.980     0.987     1.032     0.996     1.046     0.996     0.981     0.997     0.991     1.107
2005     0.971     0.907     1.008     0.969     1.021     1.002     1.036     1.007     0.979     0.991     0.998     1.110
2006     0.963     0.907     0.992     0.983     1.027     1.006     1.025     1.014     0.983     0.982     1.002     1.104
2007     0.968     0.907     0.999     0.969     1.035     1.011     1.015     1.022     0.975     0.988     1.004     1.092
2008     0.976     0.944     1.004     0.960     1.047     0.991     1.027     1.021     0.964     1.001     1.007     1.079
2009     0.988     0.908     0.975     0.987     1.041     0.992     1.033     1.012     0.971     1.006     0.994     1.084
2010     0.983     0.909     0.997     0.977     1.030     0.998     1.037     1.002     0.976     1.001     0.993     1.090
2011     0.975     0.910     0.992     0.995     1.020     1.002     1.031     1.008     0.978     0.992     0.999     1.095
2012     0.967     0.945     1.008     0.972     1.033     1.009     1.012     1.021     0.974     0.989     1.003     1.081
2013     0.981     0.912     1.022     0.955     1.038     1.001     1.017     1.025     0.962     0.997     1.014     1.066
2014     0.988     0.912     0.991     0.982     1.043     0.989     1.024     1.018     0.964     1.004     1.005     1.074
2015     0.993     0.912     0.992     0.975     1.037     0.990     1.030     1.007     0.971     1.009     0.992     1.084
2016     0.988     0.938     1.016     0.972     1.019     1.001     1.029     1.003     0.978     0.994     1.001     1.099
2017     0.970     0.911     0.999     0.986     1.025     1.003     1.019     1.010     0.982     0.986     1.005     1.094
2018     0.975     0.910     1.025     0.953     1.032     1.007     1.010     1.017     0.974     0.992     1.007     1.085
2019     0.982     0.910     0.996     0.976     1.040     0.999     1.017     1.023     0.963     0.999     1.017     1.070
2020     0.988     0.948     0.978     0.986     1.038     0.990     1.032     1.008     0.971     1.009     0.994     1.086
2021     0.986     0.910     0.996     0.975     1.028     0.997     1.037     1.000     0.975     1.003     0.995     1.093
2022     0.977     0.910     0.990     0.992     1.019     1.002                                                            
