YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    17170     16990     16916     16677     16602     16277     16496     16733     16812     17104     17420     17491
1993    17553     17478     17554     17770     17821     18030     17927     18201     18515     18199     18153     18238
1994    17624     18425     18813     18533     18600     18889     18962     18868     18978     19010     19028     19178
1995    19160     18911     19234     19346     19450     19419     19489     19715     19640     19611     19609     19625
1996    19564     19742     19862     19932     20094     19932     20145     20140     20397     20551     20789     20707
1997    21110     21136     21171     21216     21230     21382     21689     21674     21986     21758     21504     21818
1998    21921     22132     22251     22353     22436     22634     22570     22743     22830     23066     23157     23351
1999    22871     23270     23250     23440     23500     23546     23508     23664     23836     24265     24421     24378
2000    24608     24887     25367     25215     25193     25262     25454     25342     25711     25706     25698     25133
2001    26180     26069     26122     26045     26278     26379     26507     26853     26239     26541     26597     27156
2002    27201     27384     27203     27500     27378     27586     27616     27607     27784     27623     27916     28017
2003    28018     27979     28505     28403     29048     29230     29395     29844     29503     30045     30229     29795
2004    30341     30461     30703     30560     30712     30825     31191     31036     31430     31625     31659     32111
2005    32000     32469     32273     32823     32746     33009     33056     33261     33283     33618     34022     33932
2006    34983     34535     34796     34862     34910     34695     34802     35367     35725     35784     35923     36881
2007    36435     36053     36579     36627     36732     37078     37272     37189     37427     37759     37727     38109
2008    37824     37249     37552     37729     38089     38144     38267     38239     38386     38120     38018     38066
2009    38256     37945     37447     37738     37755     37714     37715     37645     37474     37500     37700     37659
2010    37660     38267     38339     38658     38659     38877     39033     39402     39385     39479     39710     39508
2011    39658     40382     40536     40624     41050     41540     41516     41718     42013     42204     42237     41864
2012    42766     42995     42942     43365     43313     43584     43676     43755     44085     43796     44567     44494
2013    45138     44861     45042     44711     44800     44680     45032     45133     45330     45924     46737     46311
2014    45917     46418     47057     47142     47536     47704     48065     48346     48929     49541     49598     50379
2015    50644     50547     50932     51614     51688     51783     52047     52390     52386     52781     52985     53855
2016    53115     54262     53936     54221     54248     54229     54264     54677     55265     55249     56233     55323
2017    57232     57358     57229     57325     57363     57159     57137     57472     57838     58106     58807     59119
2018    59402     59782     60237     59544     60815     61482     62293     62634     61378     61798     61577     61588
2019    61616     62219     62677     63076     63714     64358     64713     64609     64984     64875     64254     64955
2020    65554     65359     45728     30032     39507     47425                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.914     0.932     0.996     0.989     1.063     1.033     1.049     1.069     0.979     1.033     0.960     1.000
1993     0.923     0.894     0.992     1.004     1.050     1.030     1.065     1.062     0.978     1.030     0.962     1.007
1994     0.912     0.896     0.997     1.013     1.043     1.029     1.063     1.057     0.992     1.016     0.959     1.020
1995     0.905     0.898     1.007     1.003     1.039     1.042     1.052     1.059     0.998     1.008     0.958     1.016
1996     0.902     0.934     1.020     0.995     1.052     1.037     1.041     1.082     0.972     1.009     0.978     0.995
1997     0.915     0.905     1.010     0.995     1.068     1.023     1.045     1.075     0.973     1.016     0.965     0.993
1998     0.931     0.908     1.004     0.995     1.064     1.025     1.052     1.049     0.978     1.029     0.951     1.000
1999     0.932     0.911     1.003     1.010     1.049     1.023     1.066     1.040     0.975     1.024     0.952     1.011
2000     0.923     0.944     1.017     1.006     1.037     1.038     1.049     1.044     0.993     1.001     0.948     1.025
2001     0.915     0.913     1.034     0.993     1.041     1.045     1.041     1.054     0.980     0.995     0.960     1.014
2002     0.921     0.913     1.034     0.996     1.049     1.032     1.037     1.070     0.966     0.999     0.966     1.006
2003     0.930     0.914     1.023     0.995     1.064     1.018     1.041     1.067     0.968     1.007     0.955     1.003
2004     0.944     0.944     1.014     1.010     1.047     1.018     1.062     1.037     0.972     1.020     0.947     1.013
2005     0.931     0.916     1.015     1.023     1.040     1.017     1.057     1.031     0.987     1.009     0.943     1.028
2006     0.926     0.916     1.030     1.008     1.036     1.031     1.043     1.036     0.992     1.001     0.942     1.025
2007     0.922     0.918     1.045     0.998     1.043     1.037     1.034     1.044     0.983     0.996     0.953     1.013
2008     0.927     0.959     1.025     1.005     1.068     1.015     1.034     1.057     0.970     1.008     0.955     0.991
2009     0.946     0.921     1.027     1.002     1.066     1.017     1.040     1.033     0.976     1.020     0.942     0.997
2010     0.943     0.924     1.027     1.019     1.055     1.014     1.051     1.023     0.974     1.017     0.943     1.007
2011     0.932     0.926     1.037     1.028     1.048     1.013     1.043     1.016     0.985     1.005     0.940     1.025
2012     0.927     0.952     1.063     1.009     1.050     1.030     1.019     1.027     0.976     0.995     0.953     1.018
2013     0.926     0.925     1.056     1.019     1.060     1.017     1.010     1.039     0.963     1.003     0.969     1.006
2014     0.935     0.924     1.050     1.012     1.074     1.004     1.013     1.036     0.962     1.012     0.960     1.007
2015     0.947     0.922     1.043     1.013     1.072     1.005     1.021     1.015     0.969     1.024     0.949     1.015
2016     0.943     0.949     1.036     1.039     1.051     1.007     1.032     1.009     0.982     1.008     0.947     1.038
2017     0.923     0.918     1.049     1.020     1.047     1.025     1.023     1.018     0.987     1.001     0.947     1.034
2018     0.918     0.916     1.054     1.012     1.053     1.034     1.020     1.031     0.977     0.997     0.958     1.020
2019     0.921     0.914     1.056     1.006     1.062     1.026     1.019     1.048     0.966     1.002     0.970     1.002
2020     0.927     0.950     1.035     1.003     1.073     1.019     1.036     1.027     0.974     1.024     0.945     1.005
2021     0.936     0.911     1.030     1.017     1.060     1.018     1.051     1.022     0.974     1.022     0.944     1.015
2022     0.924     0.910     1.035     1.023     1.054     1.020                                                            
