YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     4254      4342      4330      4359      4331      4401      4368      4372      4345      4299      4368      4428
1993     4637      4507      4463      4564      4642      4609      4640      4645      4640      4663      4693      4693
1994     4571      4775      4910      4916      4971      5018      5046      5165      5177      5260      5199      5254
1995     5265      5081      5130      5181      5216      5217      5318      5304      5407      5429      5516      5445
1996     5302      5346      5566      5595      5586      5678      5696      5655      5762      5779      5768      5746
1997     5823      5847      5916      5968      6004      6034      6039      6146      6162      6154      6267      6290
1998     6377      6342      6340      6369      6359      6426      6447      6444      6419      6504      6666      6687
1999     6617      6767      6831      6794      6884      6986      6954      7147      7292      7324      7272      7246
2000     7484      7548      7599      7729      7673      7593      7748      7682      7665      7737      7580      7160
2001     7764      7611      7549      7560      7559      7613      7671      7628      7419      7543      7694      7869
2002     7847      7932      7936      7874      7959      7831      7741      7837      7832      7789      7963      7927
2003     7824      7501      7854      7895      8062      8084      8115      8156      8214      8244      8358      8312
2004     8307      8375      8585      8519      8389      8572      8868      8675      8604      8806      8722      8905
2005     8856      8908      8840      8994      8963      9093      9084      9193      9244      9315      9319      9260
2006     9561      9439      9431      9402      9368      9485      9442      9422      9549      9375      9311      9334
2007     9609      9369      9406      9430      9331      9264      9315      9300      9141      9142      9094      9009
2008     8873      8594      8631      8606      8587      8473      8369      8154      7722      7735      7640      7460
2009     7363      7285      7041      7067      7087      7092      7039      6991      6981      6915      6991      7024
2010     7011      7123      7235      7121      7117      7072      7094      7130      7108      7039      7104      7062
2011     6992      7145      7397      7321      7245      7227      7263      7333      7384      7303      7385      7530
2012     7637      7627      7587      7510      7645      7552      7650      7600      7614      7416      7641      7959
2013     7906      7850      7851      7814      7733      7956      7937      7982      8041      8140      8202      7913
2014     7751      8048      8186      8297      8276      8287      8312      8447      8396      8407      8524      8656
2015     8619      8424      8677      8788      8965      8796      8940      8977      8958      9036      9036      9227
2016     9093      9134      9085      9068      9116      9262      9194      9172      9376      9225      9186      9111
2017     9307      9322      9373      9266      9329      9381      9347      9420      9368      9614      9719      9723
2018     9619      9686      9753      9941      9802      9810      9848      9732      9729      9739      9706      9660
2019     9535      9651      9787      9853      9872      9926      9855      9881      9999      9916      9937      9746
2020    10139     10133      7897      4034      7224      9575                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.904     0.900     0.960     0.950     0.987     0.990     1.009     1.017     0.996     1.046     1.073     1.194
1993     0.885     0.867     0.979     0.958     0.977     0.991     1.009     1.019     0.996     1.024     1.099     1.200
1994     0.879     0.867     0.983     0.956     0.979     0.988     0.987     1.037     1.005     1.013     1.103     1.200
1995     0.883     0.868     0.991     0.930     0.996     0.996     0.976     1.038     1.002     1.014     1.104     1.177
1996     0.903     0.904     0.972     0.949     1.003     0.965     0.996     1.042     0.970     1.033     1.114     1.172
1997     0.912     0.875     0.966     0.950     1.001     0.962     0.998     1.019     0.989     1.035     1.082     1.201
1998     0.913     0.880     0.972     0.948     0.979     0.982     1.003     1.009     0.986     1.029     1.078     1.211
1999     0.895     0.886     0.994     0.954     0.971     0.981     1.001     1.013     0.979     1.002     1.101     1.226
2000     0.887     0.926     1.003     0.923     0.995     0.986     0.969     1.038     0.983     0.991     1.101     1.206
2001     0.908     0.893     1.003     0.918     0.999     0.984     0.972     1.045     0.954     1.008     1.111     1.198
2002     0.911     0.894     0.980     0.936     1.004     0.958     0.991     1.047     0.952     1.009     1.110     1.202
2003     0.919     0.895     0.970     0.934     1.002     0.959     0.995     1.028     0.976     1.013     1.079     1.223
2004     0.921     0.909     0.990     0.938     0.967     0.985     1.003     1.024     0.981     0.990     1.100     1.226
2005     0.893     0.895     0.994     0.936     0.965     0.986     0.986     1.045     0.997     0.978     1.098     1.220
2006     0.899     0.896     0.998     0.910     0.983     0.996     0.979     1.055     0.996     0.979     1.095     1.184
2007     0.916     0.899     1.001     0.907     0.993     0.990     0.987     1.061     0.972     0.992     1.101     1.164
2008     0.920     0.943     0.971     0.933     1.002     0.958     1.015     1.037     0.994     0.997     1.063     1.188
2009     0.923     0.905     0.981     0.935     0.984     0.976     1.022     1.024     0.998     0.991     1.055     1.196
2010     0.902     0.908     1.005     0.945     0.974     0.976     1.021     1.028     0.999     0.965     1.074     1.201
2011     0.893     0.908     1.018     0.942     0.978     0.974     0.997     1.048     1.009     0.954     1.074     1.199
2012     0.899     0.940     1.026     0.915     1.005     0.977     0.987     1.061     0.977     0.979     1.081     1.158
2013     0.923     0.903     1.003     0.936     1.013     0.950     1.005     1.060     0.976     0.990     1.078     1.162
2014     0.929     0.898     0.990     0.939     1.013     0.951     1.011     1.034     0.997     1.004     1.050     1.182
2015     0.924     0.892     0.993     0.940     0.992     0.975     1.019     1.019     1.001     1.008     1.050     1.184
2016     0.899     0.917     1.019     0.948     0.986     0.982     0.996     1.040     1.013     0.977     1.078     1.186
2017     0.887     0.882     1.027     0.924     1.007     0.995     0.985     1.043     1.011     0.982     1.079     1.153
2018     0.903     0.878     1.027     0.926     1.015     0.994     0.989     1.049     0.984     1.002     1.090     1.131
2019     0.907     0.875     1.006     0.950     1.020     0.961     1.009     1.047     0.984     1.008     1.085     1.129
2020     0.913     0.907     0.998     0.958     0.997     0.977     1.017     1.008     1.008     1.013     1.054     1.161
2021     0.898     0.884     1.022     0.967     0.984     0.978     1.016     1.010     1.010     0.990     1.076     1.167
2022     0.888     0.885     1.029     0.963     0.987     0.978                                                            
