YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    12803     12601     12639     12710     12870     12886     12966     13092     13246     13304     13358     13475
1993    13398     13596     13487     13539     13521     13461     13502     13372     13416     13755     13754     13627
1994    13656     13875     13911     13867     13773     14059     14322     14685     14649     14709     14878     14885
1995    14915     14963     14921     15021     15215     15333     15249     15227     15194     15007     14981     15246
1996    15479     15457     15951     16252     16488     16352     16075     16066     16088     16360     16602     16759
1997    16938     16984     16969     16613     16367     16378     16396     16682     16757     16711     16638     16536
1998    16225     16054     15703     15798     16057     15933     16087     15851     15812     15948     16014     16399
1999    16394     16309     16529     17115     17186     17070     17704     18135     18339     18632     18992     20095
2000    19358     20214     20819     19907     20242     20885     20905     20574     21327     21412     21906     22124
2001    21931     21615     20652     21618     22628     21928     20686     20878     21336     20033     19245     18950
2002    19130     19068     19813     20856     20930     20733     21438     21182     21272     21659     22009     22464
2003    23073     23885     23968     22581     21810     21777     22196     23073     23214     22714     23472     23994
2004    24889     25256     25679     25518     27011     27050     26745     26552     27161     28656     29349     29046
2005    28375     29015     29498     30009     29140     29889     30976     33399     36116     35911     33185     33154
2006    34298     34174     34195     35646     36159     36228     36963     37696     34935     32912     33322     34895
2007    34244     34932     35999     36350     37996     37310     36963     37223     38210     39307     41985     41593
2008    42423     42504     43044     42933     44344     46547     46813     45645     45777     40584     31776     27999
2009    28818     29860     28825     28747     30488     33375     33066     34658     34800     34885     36573     37182
2010    37358     36950     37160     37182     36537     35809     35731     36189     37319     38519     39272     41279
2011    41732     42294     43737     44604     45300     44698     44712     45159     45127     44846     45622     45243
2012    45702     47171     47448     46913     45808     43811     43484     46434     46966     48212     46822     45787
2013    45970     48895     47392     45918     45257     45527     45621     45216     45245     44590     44267     46125
2014    46512     46926     46219     46508     46146     45084     45085     45192     44682     43731     42825     39695
2015    35811     37026     37522     36922     38339     38939     39227     38115     35948     35494     34982     34792
2016    33455     31890     33195     34150     34953     36116     35673     34898     35767     36705     36432     38019
2017    38604     38942     38545     38338     36807     36243     36081     37278     39278     39270     40396     40956
2018    41388     41878     41418     41176     42175     42255     42446     42861     42470     44100     42187     39419
2019    38831     40646     42097     42929     42480     41538     42201     41591     41398     42046     42295     42815
2020    42557     41302     34483     26048     29160     33625                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.945     0.919     0.971     0.979     1.045     1.042     1.070     1.056     0.992     1.027     0.978     1.001
1993     0.935     0.887     0.976     0.988     1.042     1.040     1.070     1.056     0.997     1.015     0.983     1.008
1994     0.931     0.886     0.981     0.984     1.042     1.047     1.057     1.062     1.005     1.010     0.977     1.008
1995     0.930     0.883     0.989     0.974     1.048     1.057     1.053     1.065     1.000     1.010     0.980     0.996
1996     0.935     0.916     0.979     0.986     1.057     1.037     1.060     1.075     0.993     1.019     0.978     0.989
1997     0.942     0.878     0.976     0.985     1.058     1.041     1.066     1.063     1.002     1.027     0.962     0.990
1998     0.939     0.876     0.978     0.993     1.045     1.050     1.075     1.061     1.003     1.029     0.960     0.983
1999     0.922     0.875     0.986     1.005     1.042     1.050     1.080     1.063     1.012     1.018     0.960     0.978
2000     0.914     0.905     1.000     0.993     1.048     1.065     1.065     1.076     1.016     1.014     0.954     0.954
2001     0.916     0.876     1.007     1.002     1.054     1.060     1.067     1.085     1.002     1.020     0.958     0.941
2002     0.915     0.876     1.001     1.012     1.062     1.045     1.072     1.092     1.005     1.028     0.949     0.932
2003     0.919     0.873     0.996     1.011     1.068     1.047     1.081     1.082     1.008     1.041     0.935     0.933
2004     0.915     0.893     0.997     1.027     1.058     1.050     1.095     1.082     1.007     1.031     0.943     0.940
2005     0.901     0.861     0.996     1.018     1.069     1.066     1.094     1.084     1.004     1.018     0.942     0.943
2006     0.898     0.856     0.991     1.010     1.079     1.080     1.098     1.089     0.997     1.009     0.947     0.936
2007     0.903     0.852     0.989     1.009     1.089     1.085     1.101     1.085     0.986     1.003     0.948     0.938
2008     0.912     0.885     0.981     1.017     1.094     1.076     1.105     1.075     0.987     1.001     0.940     0.942
2009     0.921     0.858     0.987     1.024     1.081     1.077     1.099     1.067     0.987     1.004     0.939     0.948
2010     0.914     0.863     1.002     1.030     1.072     1.067     1.093     1.065     0.996     0.999     0.944     0.947
2011     0.911     0.867     1.014     1.028     1.065     1.063     1.078     1.070     1.007     1.006     0.942     0.945
2012     0.906     0.895     1.020     1.016     1.074     1.061     1.073     1.081     1.005     1.016     0.949     0.930
2013     0.907     0.861     1.003     1.014     1.080     1.057     1.083     1.086     1.008     1.032     0.947     0.925
2014     0.906     0.856     0.991     1.005     1.083     1.065     1.090     1.077     1.018     1.039     0.939     0.932
2015     0.906     0.853     0.980     1.004     1.076     1.074     1.093     1.074     1.019     1.043     0.944     0.937
2016     0.899     0.881     0.981     1.002     1.077     1.076     1.081     1.077     1.028     1.029     0.952     0.946
2017     0.900     0.849     0.980     0.994     1.083     1.078     1.075     1.077     1.023     1.030     0.960     0.940
2018     0.907     0.849     0.982     0.997     1.085     1.068     1.072     1.080     1.013     1.034     0.966     0.940
2019     0.912     0.850     0.973     1.005     1.088     1.055     1.077     1.083     1.013     1.037     0.963     0.939
2020     0.915     0.878     0.974     1.009     1.077     1.061     1.087     1.073     1.014     1.040     0.955     0.943
2021     0.905     0.848     0.979     1.014     1.074     1.061     1.090     1.074     1.016     1.030     0.959     0.947
2022     0.902     0.848     0.983     1.010     1.073     1.066                                                            
