YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    19879     20202     20168     20258     20345     20298     20205     20593     20684     20851     21078     21752
1993    21383     21392     21273     21759     21993     21957     22343     22315     22429     22647     22760     22905
1994    22706     23070     23657     23354     23271     23626     23635     23889     23995     24255     24356     24583
1995    24936     24115     24579     24747     24851     25166     25375     25174     25469     25135     25414     25554
1996    25215     25616     25576     26103     26216     26085     26209     26441     26590     26904     26772     27051
1997    27216     27262     27304     27179     27328     27433     27949     27939     27868     28155     28151     28008
1998    28402     28748     28714     29123     29076     29170     29113     29274     29559     29720     30094     30129
1999    30664     31094     31390     31009     31165     31652     31549     31806     32152     32085     32161     33101
2000    32179     32576     33105     32879     33339     33408     33586     33823     34146     34280     34458     34734
2001    35601     34655     34069     35364     35202     35114     35720     35915     35822     36229     36656     37054
2002    36811     36974     37144     37491     37114     37417     37132     37202     37059     37816     37698     37716
2003    37740     38030     38391     38321     38483     38866     39404     40085     39896     39649     39945     40084
2004    40436     40519     41079     40662     41332     40756     41197     41323     41555     42042     42179     42656
2005    42556     43183     42949     43601     43423     44354     44017     44214     44502     45267     45226     44778
2006    45710     45774     45635     46048     45806     45956     45838     46043     46712     46679     46800     47344
2007    48034     47293     48132     47679     47887     47852     48412     48704     48288     48540     49047     49302
2008    48951     48927     48990     49433     50375     50762     50582     50131     49436     49260     49464     48906
2009    49288     49199     48840     48887     49085     48792     48812     48934     49220     49725     49156     49657
2010    49864     50489     50382     50494     49927     49958     49928     50161     50276     50270     51344     50937
2011    50862     51463     51587     52151     51768     52378     52086     52128     52660     52422     52592     52509
2012    53153     53822     53701     53243     53159     53200     53292     53568     53376     53690     53496     53622
2013    54048     54471     54149     54096     54334     54269     54474     54299     54644     54714     54600     54444
2014    54321     55139     55209     55691     55672     55672     55771     56125     55757     55927     55992     56047
2015    56140     55780     55986     55840     56370     56243     56478     56243     56656     56309     56497     56657
2016    55778     56611     56397     56253     56091     56405     56153     56211     55716     56130     55993     55859
2017    57145     56370     56706     57032     56302     57341     57044     57284     58008     57763     57828     58295
2018    58355     58496     57948     58039     59866     58742     59008     59211     59047     59386     59945     58988
2019    59079     58594     59467     59703     59486     59553     60043     59769     59507     59716     59610     59643
2020    59963     59895     64986     56129     59458     61048                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.753     0.796     0.889     0.934     0.989     0.931     0.922     0.996     0.905     1.006     1.189     1.709
1993     0.753     0.766     0.890     0.936     0.981     0.939     0.928     0.982     0.919     1.001     1.175     1.727
1994     0.748     0.768     0.913     0.918     0.967     0.958     0.929     0.984     0.922     0.991     1.175     1.717
1995     0.742     0.773     0.911     0.931     0.971     0.965     0.929     0.991     0.922     0.974     1.182     1.689
1996     0.749     0.812     0.919     0.912     0.996     0.963     0.921     1.009     0.909     0.980     1.174     1.632
1997     0.776     0.791     0.937     0.900     1.003     0.960     0.930     1.003     0.899     0.991     1.159     1.612
1998     0.788     0.800     0.910     0.940     1.002     0.953     0.942     0.993     0.903     0.989     1.146     1.604
1999     0.795     0.807     0.934     0.930     0.997     0.958     0.946     0.977     0.914     0.980     1.131     1.610
2000     0.799     0.834     0.943     0.945     0.985     0.972     0.939     0.986     0.912     0.957     1.148     1.592
2001     0.799     0.821     0.948     0.943     0.989     0.969     0.933     1.003     0.903     0.958     1.144     1.563
2002     0.814     0.832     0.971     0.913     1.001     0.963     0.939     1.006     0.894     0.966     1.135     1.523
2003     0.835     0.844     0.942     0.940     1.003     0.958     0.948     1.000     0.886     0.983     1.123     1.504
2004     0.848     0.884     0.932     0.958     0.994     0.955     0.965     0.975     0.904     0.983     1.099     1.517
2005     0.851     0.860     0.959     0.940     0.987     0.967     0.962     0.975     0.905     0.975     1.100     1.509
2006     0.848     0.862     0.948     0.958     0.989     0.975     0.957     0.979     0.913     0.959     1.107     1.487
2007     0.855     0.865     0.962     0.943     0.998     0.983     0.947     0.991     0.910     0.956     1.111     1.457
2008     0.863     0.905     0.977     0.920     1.021     0.970     0.953     0.999     0.895     0.968     1.112     1.416
2009     0.880     0.879     0.946     0.951     1.018     0.964     0.963     0.994     0.899     0.977     1.097     1.406
2010     0.878     0.888     0.966     0.946     1.009     0.966     0.972     0.981     0.910     0.975     1.089     1.404
2011     0.871     0.894     0.963     0.967     0.992     0.973     0.971     0.984     0.917     0.970     1.089     1.402
2012     0.859     0.925     0.988     0.951     0.997     0.983     0.952     1.003     0.922     0.959     1.102     1.377
2013     0.865     0.892     1.009     0.924     1.009     0.979     0.954     1.016     0.913     0.967     1.108     1.350
2014     0.874     0.887     0.976     0.948     1.022     0.968     0.963     1.017     0.910     0.979     1.104     1.343
2015     0.883     0.881     0.974     0.943     1.020     0.965     0.975     1.010     0.914     0.991     1.091     1.344
2016     0.882     0.903     0.990     0.944     0.998     0.977     0.985     0.997     0.927     0.983     1.088     1.359
2017     0.865     0.870     0.975     0.967     0.997     0.984     0.982     1.005     0.935     0.973     1.096     1.344
2018     0.865     0.866     1.010     0.933     1.005     0.989     0.973     1.017     0.929     0.974     1.101     1.324
2019     0.872     0.862     0.984     0.952     1.014     0.988     0.976     1.029     0.916     0.981     1.108     1.300
2020     0.881     0.898     0.964     0.961     1.022     0.974     0.995     1.019     0.912     1.000     1.089     1.304
2021     0.887     0.858     0.979     0.952     1.015     0.978     1.005     1.005     0.919     0.996     1.084     1.316
2022     0.880     0.857     0.970     0.973     1.001     0.987                                                            
