YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    27835     27720     27848     27867     27987     28011     28183     28222     28122     28328     28184     28233
1993    28220     28419     28307     28367     28386     28377     28554     28357     28478     28618     28625     28773
1994    28722     28923     28914     29111     29025     29311     29149     29410     29545     29343     29520     29443
1995    29791     29604     29619     29499     29763     29812     29675     29721     29735     29692     29858     29994
1996    30105     29990     30125     30220     30245     30288     30493     30555     30565     30766     30768     30879
1997    31030     30991     31109     31065     30987     30804     31022     31160     31171     31225     31125     31063
1998    30989     30915     31123     31169     31358     31435     31673     31744     31702     31864     31920     32291
1999    32225     32465     32419     32700     32776     32633     32891     32878     33121     32968     32972     34270
2000    32239     32567     33117     33541     33221     33644     33479     33554     33729     33867     34071     34558
2001    34229     34602     34477     34727     34781     34866     34792     35043     35152     35270     35414     35208
2002    35130     35114     35160     34827     34941     34933     35044     34874     34865     34990     35157     35257
2003    35669     35570     35549     35638     35225     35676     35957     35890     35918     35763     35679     35808
2004    36402     35890     36365     36312     36528     36508     36526     36680     36951     37078     37286     37423
2005    37628     37553     37645     38049     37908     38143     37960     38320     38577     38559     38508     38847
2006    38254     38889     38866     38891     39242     39372     39411     39705     39356     40002     39989     40153
2007    40253     40646     40572     40416     40740     40870     41044     40954     41095     41379     41868     41998
2008    42159     42016     42168     42584     42549     42683     42899     43063     42834     42768     42496     42136
2009    42771     42101     42069     42288     42300     42530     42480     42401     42691     42763     42808     43192
2010    43028     43735     43304     43186     43266     42963     43011     43258     43601     43493     44077     44184
2011    44684     44961     45068     45723     45365     45791     45797     46034     45840     46047     46185     46035
2012    46248     46353     46753     46927     46873     46842     46956     47013     47131     47449     47310     47097
2013    47219     47641     47577     47245     47728     47711     48013     48085     48190     48339     48337     48875
2014    49018     49046     49131     49419     49641     50008     50219     50342     50545     50741     50743     50898
2015    50969     51039     50984     50845     50952     51121     51302     51327     51194     51034     51435     51154
2016    51481     51314     50886     51504     51706     51995     51673     51886     52109     52451     52452     52564
2017    52860     53164     53647     53728     53850     53689     53790     53981     54630     54773     54882     55275
2018    55021     55077     55240     55545     55490     55349     55716     55552     55661     55835     55821     55486
2019    56660     55248     56334     56502     56622     57005     57692     57701     57220     57201     57438     57622
2020    57495     57337     73714     63869     64656     63652                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.981     0.946     0.978     0.990     1.032     1.001     1.046     1.015     0.977     1.009     0.980     1.073
1993     0.977     0.906     0.986     0.991     1.025     1.007     1.053     1.004     0.984     0.997     0.981     1.082
1994     0.971     0.905     1.012     0.980     1.013     1.014     1.041     1.013     0.985     0.991     0.985     1.092
1995     0.961     0.904     1.003     0.986     1.021     1.014     1.033     1.024     0.988     0.979     0.992     1.082
1996     0.969     0.940     1.004     0.971     1.037     1.006     1.029     1.039     0.965     0.997     1.008     1.051
1997     0.984     0.903     1.013     0.961     1.046     0.991     1.039     1.028     0.967     1.003     0.997     1.062
1998     0.990     0.904     0.980     0.989     1.035     0.993     1.044     1.015     0.978     1.011     0.983     1.074
1999     0.978     0.906     1.001     0.977     1.029     0.998     1.051     1.002     0.985     0.999     0.986     1.081
2000     0.972     0.937     1.003     0.984     1.026     1.007     1.031     1.020     0.988     0.980     0.997     1.078
2001     0.971     0.910     1.011     0.970     1.037     1.010     1.018     1.025     0.978     0.988     0.997     1.071
2002     0.983     0.912     1.020     0.953     1.044     1.000     1.024     1.033     0.964     0.997     1.014     1.042
2003     0.992     0.912     0.992     0.978     1.052     0.987     1.032     1.021     0.966     1.003     1.003     1.052
2004     1.002     0.939     0.987     0.988     1.033     0.996     1.045     0.998     0.984     0.998     0.989     1.071
2005     0.988     0.913     1.015     0.970     1.022     1.002     1.035     1.008     0.981     0.992     0.996     1.075
2006     0.980     0.913     0.999     0.984     1.028     1.005     1.024     1.016     0.985     0.983     1.000     1.069
2007     0.985     0.914     1.006     0.971     1.036     1.010     1.014     1.023     0.978     0.989     1.001     1.059
2008     0.993     0.950     1.010     0.962     1.047     0.991     1.027     1.022     0.966     1.001     1.006     1.045
2009     1.004     0.915     0.982     0.988     1.041     0.991     1.032     1.014     0.973     1.006     0.993     1.051
2010     0.999     0.916     1.003     0.978     1.031     0.998     1.036     1.004     0.978     1.001     0.992     1.056
2011     0.991     0.917     1.000     0.997     1.021     1.002     1.030     1.009     0.979     0.993     0.997     1.061
2012     0.983     0.953     1.014     0.975     1.033     1.008     1.011     1.022     0.977     0.990     1.000     1.048
2013     0.997     0.920     1.027     0.959     1.038     1.001     1.016     1.025     0.965     0.999     1.012     1.031
2014     1.003     0.920     0.998     0.986     1.043     0.989     1.023     1.019     0.966     1.005     1.004     1.039
2015     1.008     0.919     0.999     0.980     1.038     0.990     1.028     1.008     0.974     1.011     0.991     1.050
2016     1.003     0.946     1.022     0.976     1.020     1.000     1.026     1.004     0.979     0.996     0.998     1.065
2017     0.986     0.918     1.005     0.990     1.026     1.001     1.017     1.012     0.983     0.988     1.002     1.061
2018     0.990     0.918     1.030     0.958     1.034     1.005     1.009     1.017     0.977     0.993     1.002     1.054
2019     0.998     0.917     1.003     0.979     1.039     0.999     1.015     1.023     0.965     1.001     1.013     1.038
2020     1.003     0.956     0.985     0.990     1.038     0.989     1.029     1.010     0.973     1.010     0.992     1.054
2021     1.002     0.917     1.002     0.978     1.028     0.997     1.035     1.002     0.977     1.004     0.992     1.060
2022     0.994     0.917     0.997     0.994     1.020     1.001                                                            
