YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     4318      4308      4292      4391      4356      4357      4468      4494      4549      4809      5059      5059
1993     5352      4896      4811      5033      4967      5153      5064      5115      5222      5432      5159      5377
1994     5288      5282      5593      5464      5756      5739      5933      6012      6092      6048      6074      6021
1995     5955      6097      6134      6265      6372      6288      6398      6502      6413      6419      6520      6566
1996     6202      6339      6473      6772      7128      7050      7018      6918      7011      7110      7154      7144
1997     7295      7539      7459      7417      7181      7474      7464      7562      7664      7704      7707      7845
1998     8070      7948      7957      7916      8037      8064      8240      8334      8378      8444      8448      8622
1999     8454      8615      8503      8590      8585      8481      8350      8519      8597      8661      9058      9489
2000     9136      9163      9189      9056      8760      8785      8789      8666      8925      8870      8829      8631
2001     8466      8665      8897      8527      8752      8693      8671      8691      8377      8456      8548      8432
2002     8447      8616      8380      8579      8539      8639      8575      8740      8724      8579      8362      8569
2003     8565      8372      8405      8359      8525      8537      8497      8618      8442      8591      8530      8576
2004     8665      8481      8552      8685      8869      8446      8554      8567      8596      8677      8877      8914
2005     8784      8949      8890      8839      8932      8879      8927      8881      9010      9086      9151      9044
2006     9620      9512      9398      9507      9475      9324      9287      9305      9378      9501      9563      9876
2007     9629      9489      9771      9586      9843      9988      9759      9740      9783      9620      9632      9688
2008    10074      9380      9355      9277      9310      9308      9583      9163      9080      8914      8630      8564
2009     8511      8746      8615      8677      8426      8465      8352      8313      8385      8360      8406      8591
2010     8376      8246      8706      8570      8623      8802      8607      8640      8776      8932      8891      8898
2011     8822      9122      8848      9052      8968      9073      9171      9218      9159      9065      9045      8875
2012     9299      9433      9184      9193      8897      9090      9173      9093      9111      9148      9083      9329
2013     9224      9288      9384      9341      9358      9206      9237      9334      9527      9515      9597      9429
2014     9287      9429      9510      9408      9574      9640      9669      9803      9772      9950      9885      9875
2015     9903      9818      9834      9807     10070     10100     10144     10224      9816      9804      9923      9854
2016     9876      9839     10080     10222     10068     10131     10097     10003     10270     10425     10039     10196
2017    10207     10396     10303     10382     10152     10154     10403     10362     10469     10510     10674     10749
2018    11002     10943     10835     10766     10910     10834     10555     10763     10749     10990     10979     10866
2019    10616     10650     10825     11083     11159     11265     11239     11482     11435     11576     11652     11485
2020    11984     11877     10230      7591      8837     10397                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.850     0.897     0.896     0.951     1.053     1.034     1.013     1.012     0.986     0.986     0.958     1.398
1993     0.825     0.873     0.912     0.959     1.043     1.037     1.007     1.030     0.981     0.961     0.983     1.386
1994     0.819     0.878     0.926     0.946     1.060     1.034     0.984     1.047     0.990     0.948     0.981     1.361
1995     0.839     0.887     0.936     0.923     1.074     1.041     0.973     1.054     0.977     0.962     0.977     1.312
1996     0.861     0.937     0.922     0.953     1.073     0.997     1.002     1.041     0.957     0.986     0.976     1.306
1997     0.879     0.912     0.925     0.955     1.056     0.995     1.004     1.009     0.981     0.987     0.961     1.318
1998     0.883     0.922     0.953     0.951     1.020     1.015     0.993     0.993     0.981     0.986     0.975     1.324
1999     0.872     0.927     0.976     0.958     1.001     1.008     0.980     1.009     0.976     0.971     1.009     1.317
2000     0.868     0.971     0.983     0.920     1.033     1.007     0.944     1.039     0.969     0.984     1.011     1.273
2001     0.905     0.923     0.971     0.924     1.046     0.991     0.960     1.041     0.944     1.006     1.020     1.253
2002     0.918     0.917     0.943     0.948     1.053     0.967     0.977     1.038     0.948     1.019     1.006     1.264
2003     0.921     0.912     0.927     0.948     1.055     0.974     0.989     1.015     0.976     1.020     0.980     1.272
2004     0.917     0.924     0.957     0.952     1.028     1.009     0.983     1.021     0.977     0.992     1.011     1.264
2005     0.890     0.901     0.961     0.940     1.054     1.012     0.965     1.032     0.991     0.988     1.007     1.245
2006     0.895     0.897     0.966     0.918     1.072     1.033     0.962     1.039     0.985     1.003     1.003     1.199
2007     0.900     0.896     0.967     0.923     1.082     1.032     0.978     1.039     0.968     1.024     1.005     1.173
2008     0.898     0.934     0.940     0.946     1.077     1.022     1.006     1.013     0.998     1.039     0.963     1.189
2009     0.888     0.895     0.953     0.950     1.053     1.049     1.012     1.007     1.001     1.042     0.962     1.187
2010     0.862     0.895     0.970     0.962     1.044     1.047     1.012     1.021     1.003     1.024     0.984     1.177
2011     0.850     0.894     0.977     0.954     1.059     1.043     0.991     1.041     1.013     1.021     0.985     1.164
2012     0.855     0.921     0.975     0.934     1.090     1.037     0.997     1.055     0.976     1.052     1.000     1.120
2013     0.873     0.882     0.952     0.955     1.101     1.009     1.016     1.055     0.978     1.061     0.995     1.123
2014     0.874     0.873     0.943     0.958     1.104     1.011     1.026     1.031     0.998     1.065     0.975     1.134
2015     0.871     0.866     0.952     0.963     1.084     1.035     1.030     1.020     0.995     1.063     0.984     1.135
2016     0.853     0.892     0.972     0.965     1.089     1.037     1.003     1.045     1.000     1.028     1.012     1.128
2017     0.857     0.858     0.973     0.945     1.110     1.048     0.994     1.050     0.987     1.039     1.017     1.097
2018     0.875     0.856     0.967     0.951     1.119     1.039     1.002     1.052     0.961     1.056     1.030     1.083
2019     0.883     0.855     0.943     0.973     1.125     1.015     1.017     1.049     0.963     1.065     1.023     1.090
2020     0.887     0.880     0.942     0.973     1.096     1.044     1.026     1.018     0.983     1.064     1.002     1.114
2021     0.864     0.852     0.958     0.981     1.088     1.045     1.022     1.027     0.984     1.040     1.025     1.116
2022     0.856     0.851     0.964     0.972     1.098     1.046                                                            
