YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992    33478     33817     33336     33776     34357     34781     35199     34585     35890     35972     35928     36272
1993    37621     36723     35955     38521     39006     38892     40290     40504     40203     40857     42077     42796
1994    42660     43685     44475     45072     44098     44541     44477     45232     46314     47041     47203     46941
1995    47224     45902     46681     47056     47718     49652     48832     49748     49188     49271     49863     50163
1996    50349     52288     52348     51531     52200     51798     52004     51472     53184     53450     52710     52835
1997    54010     54601     54233     53861     52191     54066     55255     55488     55334     54856     55314     55763
1998    55494     54841     56135     57464     57882     59264     56320     54997     57196     59294     59817     60473
1999    60535     61260     61641     62150     63211     63452     64509     65713     65150     64519     66269     65909
2000    67679     69085     68433     65812     65781     66638     65205     65311     66850     66208     64645     63524
2001    65926     66188     65671     66933     67039     66710     66067     66350     63929     80455     72413     68220
2002    67665     68168     66570     68251     65062     67354     69944     72204     68066     67553     67931     69794
2003    69673     66535     68628     69580     69660     70325     71049     72919     71184     69817     71738     70103
2004    69270     71093     72137     69960     72821     68991     71238     71365     74729     73858     73407     75387
2005    72083     73773     74147     73649     73225     79639     81605     73787     70627     67853     73211     73332
2006    76757     74108     74609     74898     74081     75369     75964     75187     74579     75447     76064     75438
2007    75399     75841     75472     76205     77186     74794     74932     76549     77176     77617     75921     73345
2008    73834     72206     71774     70052     69143     67161     64397     64985     62549     56599     54984     54123
2009    55790     54188     53100     53557     54089     56611     57748     62263     53534     56469     57355     57079
2010    56920     55856     60953     61823     61617     61478     62510     62551     63136     64805     65498     65244
2011    66286     67320     67587     66876     65855     66654     66429     65792     68823     69812     70293     71614
2012    71646     72589     72775     72871     73572     72581     73004     73859     75275     74807     75763     76859
2013    77647     78801     77849     78295     79464     81097     81458     81086     79715     81123     81597     81058
2014    78614     81181     83961     85336     85507     85660     86014     86770     85961     86269     87305     86863
2015    87943     86646     90323     90840     91620     91602     91567     92169     92696     92247     93000     92569
2016    92292     94522     92595     93044     93202     93729     95136     95324     96191     96201     95663     98403
2017    98325     97626     95626     96469     96792     97631     97700     95319     99932    100732     99195     99301
2018    99148     98296     98761     99140     99674     99558     99704     98197     98576     99640     99780    101002
2019    99055     99357    102693    102079    102437    102590    103219    105133    103935    104919    106504    104837
2020   105634    105229     77997     68468    101837    110236                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.893     0.924     1.055     1.068     1.062     1.104     1.074     1.025     0.999     1.021     0.899     0.911
1993     0.858     0.893     1.092     1.066     1.061     1.105     1.067     1.030     1.002     0.986     0.927     0.911
1994     0.857     0.897     1.098     1.056     1.067     1.107     1.029     1.069     1.001     0.982     0.924     0.904
1995     0.860     0.903     1.104     1.017     1.106     1.105     1.023     1.075     0.993     0.984     0.923     0.873
1996     0.891     0.948     1.063     1.050     1.114     1.060     1.059     1.078     0.961     1.015     0.913     0.875
1997     0.896     0.918     1.063     1.046     1.111     1.063     1.058     1.046     0.991     1.013     0.878     0.903
1998     0.896     0.926     1.066     1.044     1.075     1.095     1.061     1.050     0.991     1.004     0.878     0.906
1999     0.867     0.931     1.099     1.044     1.073     1.093     1.060     1.056     0.993     0.967     0.904     0.913
2000     0.868     0.968     1.096     1.002     1.110     1.096     1.031     1.100     0.986     0.964     0.904     0.886
2001     0.898     0.928     1.087     1.005     1.109     1.090     1.045     1.105     0.955     0.989     0.901     0.894
2002     0.895     0.923     1.047     1.037     1.109     1.056     1.092     1.102     0.958     0.983     0.893     0.909
2003     0.890     0.916     1.047     1.040     1.102     1.061     1.104     1.065     0.986     0.977     0.860     0.952
2004     0.881     0.917     1.090     1.047     1.064     1.093     1.106     1.070     0.985     0.932     0.889     0.962
2005     0.856     0.908     1.088     1.055     1.070     1.072     1.075     1.101     0.983     0.937     0.886     0.964
2006     0.853     0.911     1.110     1.017     1.100     1.069     1.065     1.105     0.979     0.932     0.889     0.942
2007     0.880     0.915     1.111     1.014     1.103     1.067     1.056     1.105     0.953     0.958     0.888     0.942
2008     0.890     0.957     1.067     1.053     1.101     1.034     1.082     1.072     0.967     0.968     0.870     0.968
2009     0.897     0.924     1.077     1.045     1.069     1.051     1.079     1.063     0.973     0.969     0.872     0.979
2010     0.877     0.928     1.107     1.041     1.059     1.052     1.073     1.055     0.977     0.946     0.898     0.989
2011     0.874     0.930     1.113     1.040     1.052     1.053     1.042     1.082     0.973     0.943     0.911     0.992
2012     0.869     0.969     1.116     1.009     1.084     1.047     1.031     1.092     0.949     0.966     0.920     0.965
2013     0.893     0.926     1.074     1.041     1.091     1.018     1.056     1.092     0.948     0.971     0.925     0.965
2014     0.895     0.922     1.077     1.030     1.090     1.013     1.061     1.067     0.971     0.978     0.906     0.997
2015     0.892     0.916     1.066     1.032     1.063     1.033     1.067     1.062     0.980     0.982     0.905     1.007
2016     0.868     0.943     1.082     1.040     1.052     1.043     1.040     1.084     0.985     0.958     0.935     1.017
2017     0.857     0.904     1.098     0.999     1.080     1.040     1.036     1.087     0.988     0.957     0.943     0.997
2018     0.878     0.899     1.095     0.991     1.083     1.042     1.030     1.092     0.964     0.986     0.946     0.993
2019     0.880     0.894     1.068     1.011     1.092     1.022     1.059     1.091     0.958     0.991     0.949     0.988
2020     0.882     0.929     1.059     1.021     1.066     1.042     1.072     1.061     0.982     0.994     0.921     1.014
2021     0.855     0.886     1.084     1.021     1.062     1.049     1.072     1.057     0.985     0.969     0.941     1.018
2022     0.851     0.885     1.088     1.022     1.057     1.055                                                            
