YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     6515      6110      6018      6327      6550      6653      6891      6766      6714      6665      6610      6597
1993     6644      6780      7009      6868      7309      6858      7046      6999      7486      7343      7561      7438
1994     7720      7681      7853      7941      7859      8074      8077      8241      8106      8306      8092      8237
1995     8182      8307      8216      8365      8518      8429      8499      8699      8842      8702      9170      9543
1996     9038      9400      9606      9632      9519      9610      9550      9468      9889     10025     10390     10765
1997    10006     10350     10488     10642     10547     10643     10836     10432     10669     10529     10675     10490
1998    10390     10626     10844     10992     11189     11103     11580     11375     11302     11577     11553     11459
1999    11720     11821     12052     12345     12558     12558     12742     12965     13196     13127     13110     13528
2000    13855     14241     14261     14458     14539     14949     15037     15280     15775     15698     15883     16538
2001    15505     15223     15354     15289     14876     14981     14964     15214     14473     14979     14837     14810
2002    15091     15054     15345     15675     15850     15725     16018     15881     15725     15977     16416     16497
2003    16434     16933     16764     16593     16722     16938     17049     17312     17595     17778     17881     17742
2004    18275     18566     18072     18442     18351     18649     18927     19178     19472     19675     19789     19942
2005    20237     20175     20506     20741     20568     21024     20988     21767     21951     22255     22461     22827
2006    22574     23068     23677     23305     23794     23762     23638     24225     24206     24349     24259     24206
2007    24243     25505     25034     25303     25271     25462     25970     25826     26112     26397     27065     26268
2008    26019     26101     26530     27243     27526     27403     27823     27374     27258     26333     25149     24751
2009    25049     25241     24941     24932     25159     25768     26110     26150     26339     26634     26666     26984
2010    27280     27256     27817     27745     27775     28462     28095     28774     28884     28976     28951     29672
2011    30617     30117     30452     30737     30923     31136     31209     31632     31447     32494     32785     32538
2012    32405     32909     32883     33173     33794     33729     34147     34423     34740     34714     35305     35322
2013    35754     35737     35648     35344     35366     35573     35915     36041     35935     35929     36737     37785
2014    36598     37578     38128     38277     38407     39227     39140     39669     39766     40163     40518     40697
2015    40520     41517     41381     41698     41640     41909     42544     42616     43088     43333     43305     43615
2016    44516     44746     44845     45323     46227     46806     46783     47118     47434     48075     48099     49113
2017    49730     50005     50619     51389     51774     52124     52544     52834     53367     52837     55155     56015
2018    55911     56359     57047     57804     57487     57488     58445     58694     59544     59967     62173     56149
2019    62884     63494     63306     64511     66089     67027     67423     67965     67688     68307     67675     67493
2020    68101     68924     72365     79143     84845     82804                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     1.058     0.985     1.053     0.951     0.888     0.867     0.850     0.862     0.956     1.087     1.169     1.317
1993     1.005     0.969     1.073     0.960     0.885     0.865     0.833     0.888     0.956     1.056     1.206     1.317
1994     0.996     0.966     1.077     0.934     0.913     0.869     0.812     0.904     0.966     1.048     1.203     1.292
1995     1.019     0.961     1.074     0.910     0.932     0.886     0.813     0.909     0.939     1.078     1.198     1.257
1996     1.030     0.998     1.022     0.961     0.939     0.847     0.862     0.893     0.938     1.098     1.167     1.287
1997     1.028     0.947     1.017     0.956     0.925     0.879     0.875     0.874     0.966     1.091     1.122     1.306
1998     1.007     0.942     1.048     0.955     0.904     0.913     0.883     0.878     0.966     1.061     1.133     1.306
1999     0.985     0.940     1.069     0.963     0.903     0.914     0.871     0.915     0.964     1.025     1.147     1.301
2000     0.989     0.985     1.073     0.911     0.950     0.921     0.846     0.947     0.945     1.044     1.125     1.241
2001     1.048     0.943     1.051     0.934     0.953     0.893     0.873     0.952     0.918     1.059     1.122     1.240
2002     1.060     0.947     1.022     0.962     0.949     0.868     0.891     0.938     0.939     1.060     1.081     1.286
2003     1.060     0.949     1.016     0.959     0.930     0.888     0.897     0.916     0.962     1.056     1.045     1.319
2004     1.036     0.967     1.064     0.965     0.902     0.912     0.881     0.944     0.954     1.003     1.099     1.330
2005     1.015     0.949     1.059     0.943     0.927     0.916     0.856     0.965     0.955     1.000     1.091     1.311
2006     1.027     0.946     1.062     0.911     0.954     0.923     0.866     0.968     0.927     1.015     1.098     1.281
2007     1.044     0.943     1.032     0.932     0.961     0.907     0.897     0.965     0.903     1.026     1.104     1.286
2008     1.046     0.981     0.987     0.961     0.943     0.915     0.924     0.918     0.944     1.017     1.038     1.369
2009     1.026     0.941     1.016     0.953     0.917     0.942     0.922     0.919     0.939     0.987     1.069     1.383
2010     0.998     0.941     1.038     0.952     0.918     0.940     0.897     0.943     0.939     0.953     1.104     1.393
2011     0.993     0.940     1.040     0.926     0.942     0.939     0.871     0.965     0.938     0.948     1.116     1.372
2012     1.007     0.975     1.018     0.926     0.966     0.912     0.895     0.968     0.893     0.986     1.135     1.340
2013     1.021     0.933     0.980     0.957     0.966     0.890     0.921     0.948     0.914     0.991     1.091     1.399
2014     1.007     0.925     0.988     0.948     0.948     0.914     0.933     0.922     0.937     0.990     1.072     1.431
2015     0.974     0.915     1.004     0.956     0.928     0.940     0.941     0.922     0.934     0.971     1.102     1.437
2016     0.938     0.940     1.011     0.945     0.958     0.945     0.906     0.964     0.937     0.946     1.135     1.402
2017     0.952     0.891     1.011     0.915     0.987     0.950     0.916     0.970     0.910     0.970     1.147     1.359
2018     0.964     0.884     0.981     0.934     0.997     0.930     0.946     0.974     0.890     0.994     1.155     1.350
2019     0.960     0.881     0.946     0.953     1.000     0.917     0.974     0.960     0.913     1.003     1.107     1.394
2020     0.952     0.896     0.963     0.953     0.956     0.967     0.982     0.939     0.934     0.984     1.112     1.411
2021     0.901     0.879     0.981     0.954     0.959     0.969     0.964     0.964     0.938     0.958     1.140     1.402
2022     0.899     0.878     0.985     0.929     0.983     0.974                                                            
