YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992   146925    147223    146805    148032    149010    149800    150761    151067    152588    153521    153583    155614
1993   157555    156266    154752    158979    160605    160127    162816    162506    163258    164685    166594    168161
1994   167518    169649    172766    173106    172329    174241    174781    177295    178787    180561    180703    181524
1995   182413    179488    181013    181686    183536    186081    185431    186806    187366    186565    189055    190774
1996   189135    192266    194029    194744    196205    196136    196187    196218    198859    200509    200174    201284
1997   202371    204286    204990    203399    201699    204675    207014    207635    208326    208078    208936    209363
1998   209666    209552    210832    213633    214639    216337    214841    213636    215720    219483    221134    223179
1999   223997    226250    227417    229037    231235    231903    233948    236566    237481    237553    240544    245485
2000   243436    247133    249825    245831    246201    248160    247176    247576    251837    251221    250331    250658
2001   252654    252704    250328    254763    255218    254022    252997    254560    249845    267999    260514    256549
2002   256307    257670    257059    261333    257573    259786    262769    265043    260626    261953    263568    265930
2003   267230    263188    267820    267197    267362    270396    273352    277965    276430    274764    278298    277612
2004   278913    280932    286209    282952    288252    284133    287358    287941    293139    295115    296177    299763
2005   296696    300557    301308    303760    301776    310989    313520    310046    310673    310479    313303    313473
2006   322348    320171    320869    322561    321794    323184    324204    325324    323236    322678    323343    326849
2007   327181    327953    330579    329560    334202    331076    332342    334169    335442    337530    341133    336189
2008   337412    334584    335193    334843    337947    338311    336771    334045    328343    314830    301332    294025
2009   298673    297631    292300    293614    296501    302169    302802    309023    301033    304154    306675    308413
2010   308529    308520    316269    318612    315356    315250    315546    317345    319914    324043    327635    329741
2011   332140    334674    337935    340149    339232    341657    341274    342228    345696    347717    349352    349973
2012   352610    357233    358862    356550    356050    352556    353782    358397    361281    362129    363013    364299
2013   367100    372389    369175    367557    369337    370962    373426    372414    372091    373352    373819    376575
2014   372607    378256    382077    386506    386815    387726    388072    391304    389778    390348    391679    388421
2015   385466    384793    390948    390986    394518    395115    397720    397585    396353    394715    396257    397123
2016   395210    398293    397196    398813    400435    404859    404315    404345    406628    407991    406761    412753
2017   416600    416224    415464    418010    415879    417639    417908    418181    428218    428529    431841    433877
2018   433198    435033    434510    436423    441536    439651    441541    440241    441029    446238    446894    435953
2019   443420    442467    449925    452012    453199    454256    457485    459938    457277    459978    460760    460512
2020   464062    461914    438221    382734    448201    476881                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.893     0.891     0.972     0.994     1.023     1.016     1.013     1.011     0.971     1.016     1.006     1.226
1993     0.874     0.860     0.988     0.996     1.019     1.018     1.011     1.011     0.977     0.995     1.019     1.230
1994     0.870     0.861     0.996     0.989     1.019     1.025     0.992     1.028     0.980     0.990     1.019     1.224
1995     0.869     0.864     1.004     0.970     1.037     1.029     0.987     1.035     0.973     0.988     1.023     1.194
1996     0.883     0.904     0.986     0.983     1.050     1.006     1.003     1.040     0.954     1.006     1.017     1.182
1997     0.893     0.872     0.986     0.984     1.051     1.007     1.008     1.020     0.966     1.008     0.994     1.195
1998     0.894     0.877     0.989     0.991     1.031     1.020     1.013     1.016     0.967     1.004     0.991     1.198
1999     0.878     0.881     1.007     0.995     1.027     1.021     1.012     1.016     0.971     0.982     1.003     1.200
2000     0.877     0.915     1.019     0.973     1.042     1.028     0.990     1.040     0.967     0.975     1.009     1.172
2001     0.892     0.883     1.019     0.974     1.048     1.021     0.993     1.046     0.950     0.988     1.010     1.165
2002     0.900     0.883     0.999     0.989     1.052     1.002     1.011     1.046     0.948     0.993     1.003     1.162
2003     0.905     0.882     0.994     0.992     1.052     1.001     1.021     1.027     0.960     0.996     0.983     1.178
2004     0.905     0.901     1.009     1.001     1.029     1.017     1.027     1.022     0.966     0.973     0.994     1.188
2005     0.886     0.882     1.015     0.996     1.032     1.023     1.009     1.037     0.966     0.968     0.996     1.184
2006     0.886     0.884     1.020     0.978     1.050     1.025     1.003     1.039     0.961     0.966     1.002     1.162
2007     0.903     0.885     1.021     0.976     1.056     1.022     1.000     1.040     0.944     0.980     1.005     1.156
2008     0.911     0.923     1.001     0.992     1.058     1.002     1.019     1.019     0.952     0.988     0.988     1.170
2009     0.916     0.890     1.003     0.998     1.038     1.013     1.020     1.012     0.955     0.988     0.988     1.174
2010     0.901     0.892     1.022     1.000     1.031     1.014     1.017     1.010     0.960     0.971     1.003     1.176
2011     0.897     0.893     1.026     1.000     1.027     1.017     0.997     1.027     0.964     0.969     1.009     1.172
2012     0.892     0.928     1.031     0.980     1.049     1.014     0.992     1.039     0.946     0.983     1.019     1.142
2013     0.907     0.892     1.016     0.988     1.055     0.996     1.009     1.041     0.946     0.989     1.013     1.146
2014     0.908     0.889     1.004     0.993     1.055     0.994     1.016     1.023     0.961     0.995     0.998     1.164
2015     0.905     0.886     1.002     0.994     1.037     1.008     1.022     1.017     0.964     0.997     1.000     1.170
2016     0.887     0.914     1.022     0.989     1.031     1.015     1.005     1.030     0.970     0.977     1.021     1.173
2017     0.882     0.880     1.020     0.975     1.049     1.016     1.002     1.034     0.967     0.977     1.029     1.150
2018     0.897     0.877     1.023     0.968     1.054     1.013     1.001     1.038     0.950     0.995     1.034     1.144
2019     0.903     0.874     0.999     0.986     1.060     0.997     1.018     1.038     0.947     1.002     1.027     1.146
2020     0.907     0.905     0.993     0.993     1.041     1.010     1.031     1.017     0.962     1.006     1.008     1.164
2021     0.888     0.867     1.010     0.992     1.037     1.014     1.031     1.016     0.966     0.987     1.023     1.167
2022     0.884     0.866     1.012     0.992     1.036     1.020                                                            
