YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     3385      3516      3482      3535      3512      3549      3586      3512      3566      3607      3626      3800
1993     3648      3585      3608      3749      3746      3702      3810      3804      3825      3817      3930      4018
1994     3981      4095      4131      4035      4119      4135      4111      4249      4306      4347      4221      4255
1995     4436      4298      4347      4345      4380      4421      4429      4462      4441      4414      4532      4505
1996     4600      4485      4548      4628      4432      4609      4655      4738      4690      4769      4692      4940
1997     4748      4666      4698      4725      4763      4838      4786      4745      4827      4878      5015      4915
1998     4834      5027      5008      5036      4986      5083      5032      5057      5047      5108      5093      5154
1999     5122      5292      5273      5277      5328      5367      5326      5290      5385      5373      5414      5455
2000     5232      5541      5635      5649      5757      5686      5800      5633      5728      5626      5615      5601
2001     5386      5715      5723      5658      5679      5621      5703      5775      5672      5798      6066      5797
2002     5775      5711      5717      5799      5731      5670      5666      5689      5852      5839      5985      5809
2003     5794      5576      5660      5709      5748      5908      5808      6132      5954      5841      6011      6013
2004     6087      6093      6067      5941      5985      6017      6124      6192      6111      6094      6140      6122
2005     6192      6269      6137      6318      6232      6135      6239      6274      6155      6377      6287      6462
2006     6735      6629      6610      6580      6503      6524      6461      6412      6690      6589      6461      6566
2007     6489      6494      6779      6640      6805      6850      6936      6780      6749      6834      6940      6756
2008     6818      6751      6733      6809      6949      6879      6858      6931      6536      6426      6431      6470
2009     6661      6535      6360      6514      6453      6473      6455      6628      6484      6408      6307      6523
2010     6555      6404      6494      6445      6460      6504      6495      6532      6462      6533      6671      6584
2011     6544      6620      6644      6637      6557      6592      6435      6655      6693      6535      6501      6327
2012     6625      6748      6902      6859      6877      6797      6798      6692      6677      6695      6681      6790
2013     7029      7024      6907      6812      6873      6909      6947      6777      6880      6863      6901      6867
2014     6478      6813      6811      6931      6906      6983      6954      7180      7075      7181      7132      7056
2015     6927      6967      7063      7071      7119      7094      7152      7189      7225      7129      7254      7397
2016     7348      7325      7298      7226      7275      7557      7206      7037      7056      7081      6960      7084
2017     7275      7069      6997      7058      6988      6937      6878      6945      7025      7053      7148      7098
2018     6936      7179      7254      7126      7139      6862      6658      6600      6482      6491      6559      6449
2019     6514      6576      6588      6671      6763      6845      6703      6694      6748      6764      6526      6652
2020     6698      6714      5557      3667      6526      8257                                                            


SEASONAL FACTORS


YEAR      JAN       FEB       MAR       APR       MAY       JUN       JUL       AUG       SEP       OCT       NOV       DEC

1992     0.893     0.798     0.873     0.891     0.904     0.913     0.899     1.021     0.956     0.923     1.062     1.877
1993     0.892     0.763     0.890     0.900     0.885     0.925     0.903     1.020     0.944     0.916     1.084     1.885
1994     0.879     0.761     0.900     0.902     0.884     0.918     0.897     1.041     0.953     0.898     1.097     1.877
1995     0.881     0.761     0.899     0.885     0.902     0.934     0.879     1.042     0.967     0.896     1.082     1.848
1996     0.900     0.785     0.902     0.885     0.912     0.930     0.895     1.053     0.924     0.910     1.110     1.791
1997     0.908     0.769     0.896     0.884     0.918     0.921     0.898     1.043     0.942     0.915     1.079     1.813
1998     0.913     0.775     0.883     0.884     0.914     0.941     0.911     1.020     0.951     0.914     1.065     1.801
1999     0.910     0.781     0.911     0.882     0.897     0.948     0.917     1.020     0.940     0.903     1.089     1.808
2000     0.898     0.817     0.909     0.874     0.910     0.940     0.892     1.046     0.966     0.877     1.091     1.797
2001     0.923     0.785     0.910     0.856     0.906     0.947     0.890     1.067     0.940     0.889     1.104     1.757
2002     0.934     0.785     0.912     0.855     0.910     0.916     0.909     1.087     0.926     0.886     1.119     1.744
2003     0.952     0.785     0.877     0.875     0.910     0.901     0.911     1.095     0.945     0.893     1.082     1.763
2004     0.962     0.800     0.891     0.870     0.885     0.931     0.927     1.083     0.942     0.889     1.081     1.759
2005     0.943     0.782     0.906     0.869     0.888     0.924     0.926     1.114     0.949     0.870     1.082     1.745
2006     0.942     0.780     0.904     0.861     0.909     0.937     0.914     1.125     0.963     0.864     1.061     1.713
2007     0.959     0.778     0.913     0.849     0.915     0.957     0.913     1.143     0.941     0.874     1.064     1.663
2008     0.958     0.814     0.907     0.868     0.930     0.925     0.929     1.149     0.946     0.874     1.049     1.671
2009     0.965     0.776     0.899     0.874     0.927     0.947     0.934     1.132     0.957     0.873     1.030     1.660
2010     0.953     0.780     0.929     0.878     0.911     0.959     0.938     1.130     0.946     0.866     1.047     1.662
2011     0.928     0.784     0.929     0.904     0.909     0.949     0.932     1.146     0.952     0.854     1.062     1.662
2012     0.913     0.818     0.947     0.870     0.925     0.971     0.914     1.148     0.942     0.873     1.064     1.618
2013     0.929     0.795     0.960     0.877     0.932     0.944     0.930     1.140     0.922     0.885     1.090     1.617
2014     0.919     0.786     0.919     0.896     0.936     0.929     0.938     1.131     0.945     0.897     1.072     1.650
2015     0.900     0.777     0.923     0.882     0.933     0.950     0.952     1.104     0.955     0.909     1.055     1.641
2016     0.879     0.801     0.951     0.902     0.922     0.954     0.959     1.107     0.956     0.891     1.092     1.613
2017     0.858     0.788     0.950     0.901     0.941     0.971     0.949     1.104     0.962     0.906     1.094     1.535
2018     0.865     0.793     0.974     0.888     0.950     0.991     0.955     1.114     0.941     0.932     1.113     1.450
2019     0.864     0.794     0.957     0.928     0.953     0.962     0.977     1.121     0.930     0.942     1.117     1.429
2020     0.867     0.830     0.934     0.922     0.943     0.976     0.986     1.091     0.963     0.958     1.067     1.462
2021     0.868     0.804     0.964     0.920     0.920     0.983     0.992     1.095     0.954     0.949     1.084     1.476
2022     0.851     0.803     0.957     0.938     0.921     0.971                                                            
